sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,45,-6.600093223833912,-6.598173385679067,-6.598820090826871
male,46,-4.460183464251207,-4.460658748811492,-4.461305453959296
male,47,-4.77920047422858,-4.779059227654166,-4.77970593280197
male,48,-5.0312596995197065,-5.03103130437037,-5.031678009518174
male,49,-4.710842900921063,-4.711173003684503,-4.711819708832307
male,50,-9.210340371976182,-9.210340371976182,-9.210987077123987
male,51,-9.210340371976182,-9.210340371976182,-9.210987077123987
male,52,-9.210340371976182,-9.210340371976182,-9.210987077123987
female,-52,-9.210340371976182,-9.210340371976182,-9.21116583264461
female,-51,-9.210340371976182,-9.210340371976182,-9.21116583264461
female,-50,-9.210340371976182,-9.210340371976182,-9.21116583264461
female,-49,-8.559493460045056,-8.559415908712047,-8.560241369380476
female,-48,-7.979899590380718,-7.980003504988245,-7.9808289656566735
female,-47,-7.947326231080625,-7.946834752347637,-7.947660213016065
female,-46,-7.129985005624588,-7.1304615345925315,-7.13128699526096
female,-45,-8.86941909355721,-8.867954179868219,-8.868779640536648
female,-44,-8.638638314223542,-8.637450931022203,-8.638276391690631
female,-43,-7.169377746902961,-7.169725789611921,-7.17055125028035
female,-42,-7.549132101258357,-7.548829538720649,-7.549654999389078
female,-41,-7.1821797580475755,-7.18230750244395,-7.183132963112379
female,-40,-7.278637477904683,-7.278673246703934,-7.279498707372363
female,-39,-7.487224287645114,-7.486444635865958,-7.487270096534386
female,-38,-6.394141959114167,-6.394488267169962,-6.39531372783839
female,-37,-6.882741735363175,-6.882455881440958,-6.883281342109386
female,-36,-6.665592212112576,-6.66538266625798,-6.666208126926408
female,-35,-6.0958957271453835,-6.096151994494192,-6.09697745516262
female,-34,-6.506644917999396,-6.506402655139536,-6.507228115807965
female,-33,-6.302060721749531,-6.302251321932484,-6.303076782600913
female,-32,-6.7728646489882305,-6.772226540224515,-6.773052000892943
