sex,age,disclosed,level,median_abs_gap,max_abs_gap
female,30,both,bachelors+nh_black,34.700317896008244,172.16408740493966
female,30,both,bachelors+nh_asian,31.80658467245636,333.87861106135296
female,30,both,bachelors+nh_aian,18.137713233512926,250.37536879036912
female,30,both,bachelors+nh_nhpi,27.170783347279084,520.6692589256415
female,30,both,bachelors+nh_twoplus,9.195425018628171,44.48269201453579
female,30,both,bachelors+nh_other,23.955104575644114,423.12780791369676
female,30,both,graduate+hispanic,29.397239404504468,144.69813098447787
female,30,both,graduate+nh_white,15.757682241051612,70.60501037275614
female,30,both,graduate+nh_black,37.98149493654855,201.30220695280605
female,30,both,graduate+nh_asian,37.103027430952366,459.3734246522305
female,30,both,graduate+nh_aian,20.817600410723415,187.9627831773832
female,30,both,graduate+nh_nhpi,28.187317550074653,384.21901508231497
female,30,both,graduate+nh_twoplus,12.43989884099102,48.988834286962515
female,30,both,graduate+nh_other,27.33299631706123,299.4273190172679
female,35,edu,hs_or_less,8.010036271402711,43.00093433096269
female,35,edu,some_college,3.660279288412383,19.839587515564943
female,35,edu,bachelors,7.378878571804577,33.8602624188712
female,35,edu,graduate,11.878968094665865,60.52181538031877
female,35,race,hispanic,31.008870911709252,178.32118730441837
female,35,race,nh_white,21.87888603566607,52.796103723472484
female,35,race,nh_black,34.87175240550192,196.96699193934984
female,35,race,nh_asian,26.54983044133995,260.4450197492084
female,35,race,nh_aian,17.511705701802782,460.3404973610693
female,35,race,nh_nhpi,33.852627374467126,894.7258938922832
female,35,race,nh_twoplus,9.097671564722432,99.93543638077283
female,35,race,nh_other,18.567221806151892,222.6396857237136
female,35,both,hs_or_less+hispanic,32.452795827864854,192.46061170645234
female,35,both,hs_or_less+nh_white,23.52244444147648,86.34736254398676
female,35,both,hs_or_less+nh_black,39.02234837417527,226.14714521679446
female,35,both,hs_or_less+nh_asian,14.895199932949197,125.11868287732091
female,35,both,hs_or_less+nh_aian,18.721333094899435,539.759901190941
female,35,both,hs_or_less+nh_nhpi,35.3735257182028,1052.2620190262232
female,35,both,hs_or_less+nh_twoplus,11.697517602090116,138.33715105486357
female,35,both,hs_or_less+nh_other,19.08166599200733,146.8953810890779
female,35,both,some_college+hispanic,30.724786885998952,177.1759106499517
female,35,both,some_college+nh_white,23.553990771394183,72.38169727716932
female,35,both,some_college+nh_black,35.776467152954005,212.3556355067775
female,35,both,some_college+nh_asian,18.473617548276394,183.8697246592371
female,35,both,some_college+nh_aian,18.302537698950516,459.86651597085495
female,35,both,some_college+nh_nhpi,34.707078152839784,665.1508312828647
female,35,both,some_college+nh_twoplus,10.750762961165947,96.80596466459018
female,35,both,some_college+nh_other,18.59885911621268,190.19200767688426
female,35,both,bachelors+hispanic,30.6250813563568,156.66436731981412
female,35,both,bachelors+nh_white,18.424058604301848,62.761509434302184
female,35,both,bachelors+nh_black,35.84913184082083,155.33676162120219
female,35,both,bachelors+nh_asian,30.216015305304254,278.8793937527563
female,35,both,bachelors+nh_aian,18.94770475634475,280.5954831456188
female,35,both,bachelors+nh_nhpi,32.95901484807165,359.0856905084
female,35,both,bachelors+nh_twoplus,10.861305878632521,79.2798994158117
female,35,both,bachelors+nh_other,26.072177267248485,299.5676485470483
female,35,both,graduate+hispanic,28.077400277108097,140.32007738054233
female,35,both,graduate+nh_white,16.331318860462503,76.08709146408572
female,35,both,graduate+nh_black,36.747523690797216,133.58116928057729
female,35,both,graduate+nh_asian,36.4833666609459,354.819395863062
female,35,both,graduate+nh_aian,21.356912470551265,235.26106214290198
female,35,both,graduate+nh_nhpi,33.359866082011635,643.1280947465708
female,35,both,graduate+nh_twoplus,14.278792607897472,76.32366816456913
female,35,both,graduate+nh_other,32.90567129916612,597.5132294933594
female,40,edu,hs_or_less,6.37687302509606,33.83656467742601
female,40,edu,some_college,3.9557339585670803,18.705576279925353
female,40,edu,bachelors,7.345060540509934,30.40301679162735
