sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,18-70,24,-2.9041680185378054,-2.904081339722229,-2.905348709308602
female,18-70,25,-3.2376031305077353,-3.2372160373819527,-3.2384834069683257
female,18-70,26,-2.6678558943417996,-2.6681287766283033,-2.6693961462146762
female,18-70,27,-3.1485227085837626,-3.148449308721398,-3.149716678307771
female,18-70,28,-3.717370681181268,-3.7170755645217888,-3.7183429341081617
female,18-70,29,-3.6308853729797135,-3.630454762157179,-3.631722131743552
female,18-70,30,-2.7450165868183154,-2.7452617567839708,-2.7465291263703437
female,18-70,31,-2.8810864379541226,-2.881162832128846,-2.882430201715219
female,18-70,32,-3.3914619398173493,-3.3911919080733766,-3.3924592776597495
female,18-70,33,-3.284441439293541,-3.2846160231341406,-3.2858833927205136
female,18-70,34,-3.867944414472651,-3.8670233715418285,-3.8682907411282015
female,18-70,35,-2.760644677918456,-2.7610678472927868,-2.7623352168791597
female,18-70,36,-3.6556496044220355,-3.655283005397805,-3.656550374984178
female,18-70,37,-4.344108985649335,-4.343737140223033,-4.345004509809407
female,18-70,38,-4.310187083496554,-4.310281660761282,-4.311549030347655
female,18-70,39,-4.631898409772142,-4.632000585784115,-4.6332679553704885
female,18-70,40,-6.359603496711183,-6.356667028668104,-6.357934398254478
female,18-70,41,-4.733193422534677,-4.732102044128535,-4.733369413714908
female,18-70,42,-2.9643195016449804,-2.964896037630387,-2.9661634072167598
female,18-70,43,-5.165726034483008,-5.162081271096319,-5.163348640682693
female,18-70,44,-4.147382822290205,-4.147549101378379,-4.148816470964753
female,18-70,45,-3.8434040530797873,-3.843564242427803,-3.844831612014176
female,18-70,46,-4.063118158850348,-4.063257843072673,-4.0645252126590465
female,18-70,47,-9.210340371976182,-9.210340371976182,-9.211607741562554
female,18-70,48,-9.210340371976182,-9.210340371976182,-9.211607741562554
female,18-70,49,-9.210340371976182,-9.210340371976182,-9.211607741562554
female,18-70,50,-9.210340371976182,-9.210340371976182,-9.211607741562554
female,18-70,51,-9.210340371976182,-9.210340371976182,-9.211607741562554
female,18-70,52,-9.210340371976182,-9.210340371976182,-9.211607741562554
