sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,nh_white,nh_black,bachelors,hs_or_less,0.8463,-0.16692,131.6
male,nh_white,nh_black,bachelors,some_college,0.8689,-0.14053,279.8
male,nh_white,nh_black,bachelors,bachelors,1.1589,0.1475,432.7
male,nh_white,nh_black,bachelors,graduate,1.1078,0.10239,231.0
male,nh_white,nh_black,graduate,hs_or_less,0.9778,-0.02246,52.1
male,nh_white,nh_black,graduate,some_college,0.8704,-0.13876,93.9
male,nh_white,nh_black,graduate,bachelors,1.077,0.07419,161.8
male,nh_white,nh_black,graduate,graduate,0.9787,-0.02153,217.2
male,nh_white,nh_asian,hs_or_less,hs_or_less,0.5581,-0.58318,484.2
male,nh_white,nh_asian,hs_or_less,some_college,0.6828,-0.38149,420.1
male,nh_white,nh_asian,hs_or_less,bachelors,0.7199,-0.32858,491.1
male,nh_white,nh_asian,hs_or_less,graduate,0.4913,-0.71061,154.3
male,nh_white,nh_asian,some_college,hs_or_less,0.9309,-0.07158,441.0
male,nh_white,nh_asian,some_college,some_college,0.9223,-0.08086,885.4
male,nh_white,nh_asian,some_college,bachelors,0.9844,-0.01577,1102.9
male,nh_white,nh_asian,some_college,graduate,0.7073,-0.34636,415.5
male,nh_white,nh_asian,bachelors,hs_or_less,1.4826,0.39381,320.0
male,nh_white,nh_asian,bachelors,some_college,1.3043,0.26568,606.3
male,nh_white,nh_asian,bachelors,bachelors,1.0725,0.06996,2278.7
male,nh_white,nh_asian,bachelors,graduate,1.0424,0.04149,1382.5
male,nh_white,nh_asian,graduate,hs_or_less,1.8933,0.63832,155.3
male,nh_white,nh_asian,graduate,some_college,1.6967,0.52869,265.3
male,nh_white,nh_asian,graduate,bachelors,1.3519,0.30154,1059.2
male,nh_white,nh_asian,graduate,graduate,1.3247,0.28118,1723.5
male,nh_white,nh_aian,hs_or_less,hs_or_less,1.1556,0.14463,337.1
male,nh_white,nh_aian,hs_or_less,some_college,1.2709,0.23971,231.3
male,nh_white,nh_aian,hs_or_less,bachelors,1.4879,0.39739,64.3
male,nh_white,nh_aian,hs_or_less,graduate,1.2356,0.21158,21.3
male,nh_white,nh_aian,some_college,hs_or_less,0.9851,-0.01498,154.8
male,nh_white,nh_aian,some_college,some_college,0.8771,-0.13112,235.1
male,nh_white,nh_aian,some_college,bachelors,1.448,0.37016,92.1
male,nh_white,nh_aian,some_college,graduate,1.3288,0.28426,34.0
male,nh_white,nh_aian,bachelors,hs_or_less,0.6618,-0.41276,34.8
male,nh_white,nh_aian,bachelors,some_college,0.7349,-0.30799,87.4
male,nh_white,nh_aian,bachelors,bachelors,0.9537,-0.04736,95.6
male,nh_white,nh_aian,bachelors,graduate,1.0936,0.08951,43.9
male,nh_white,nh_aian,graduate,hs_or_less,0.9666,-0.03394,22.0
male,nh_white,nh_aian,graduate,some_college,0.6759,-0.39174,18.0
male,nh_white,nh_aian,graduate,bachelors,0.8028,-0.21968,25.7
male,nh_white,nh_aian,graduate,graduate,0.8356,-0.17964,28.7
male,nh_white,nh_nhpi,hs_or_less,hs_or_less,0.7889,-0.23706,33.4
male,nh_white,nh_nhpi,hs_or_less,some_college,1.1205,0.1138,34.3
male,nh_white,nh_nhpi,hs_or_less,bachelors,1.2584,0.22982,15.4
male,nh_white,nh_nhpi,hs_or_less,graduate,1.0907,0.08683,5.1
male,nh_white,nh_nhpi,some_college,hs_or_less,0.8796,-0.1283,21.2
male,nh_white,nh_nhpi,some_college,some_college,0.9406,-0.06124,38.1
male,nh_white,nh_nhpi,some_college,bachelors,1.2994,0.26188,21.8
male,nh_white,nh_nhpi,some_college,graduate,1.1661,0.15367,9.1
male,nh_white,nh_nhpi,bachelors,hs_or_less,0.8806,-0.12713,7.8
male,nh_white,nh_nhpi,bachelors,some_college,0.8437,-0.1699,12.2
male,nh_white,nh_nhpi,bachelors,bachelors,0.9873,-0.01283,18.5
male,nh_white,nh_nhpi,bachelors,graduate,1.0082,0.00814,7.8
male,nh_white,nh_nhpi,graduate,hs_or_less,0.9519,-0.04929,2.6
male,nh_white,nh_nhpi,graduate,some_college,1.0641,0.06217,9.4
male,nh_white,nh_nhpi,graduate,bachelors,0.9477,-0.0537,5.4
male,nh_white,nh_nhpi,graduate,graduate,0.926,-0.07693,4.6
male,nh_white,nh_twoplus,hs_or_less,hs_or_less,1.143,0.13363,1891.2
male,nh_white,nh_twoplus,hs_or_less,some_college,1.21,0.19063,1762.6
male,nh_white,nh_twoplus,hs_or_less,bachelors,1.0429,0.04201,656.4
male,nh_white,nh_twoplus,hs_or_less,graduate,0.8813,-0.12637,216.6
male,nh_white,nh_twoplus,some_college,hs_or_less,0.9499,-0.05136,853.1
male,nh_white,nh_twoplus,some_college,some_college,0.9025,-0.10262,2032.8
male,nh_white,nh_twoplus,some_college,bachelors,1.1547,0.14388,1180.0
male,nh_white,nh_twoplus,some_college,graduate,1.1372,0.12858,475.5
male,nh_white,nh_twoplus,bachelors,hs_or_less,0.8732,-0.13559,358.0
male,nh_white,nh_twoplus,bachelors,some_college,0.8855,-0.12164,972.9
male,nh_white,nh_twoplus,bachelors,bachelors,1.1655,0.15312,2255.9
male,nh_white,nh_twoplus,bachelors,graduate,1.2347,0.21083,1098.9
male,nh_white,nh_twoplus,graduate,hs_or_less,0.7503,-0.28723,89.1
