# Pew Research Center, "Intermarriage across the U.S. by metro area"
# (feature, May 18 2017), data endpoint
# https://www.pewresearch.org/wp-json/prc-api/v2/interactive?slug=intermarriage-map
# accessed 2026-09-16. Percent of newlyweds married to someone of a
# different race or ethnicity, 2011-2015 ACS; Pew includes only metros with
# at least 200 newlyweds in sample; "-" = not published for that group.
# msa_code is the CBSA code of Pew's (2015-vintage) delineation.
# VALIDATION REFERENCE ONLY (soft, directional): read by build.validate,
# never shipped in the artifact, never scored. Phase 3's gate is to
# REPRODUCE this table from PUMS couple linkage; the interim pairing rate is
# only checked for direction against it. (c) Pew Research Center, used as a
# factual reference with attribution.
msa_code,metro_name,total,whites,blacks,hisps,asians
40140,"Riverside-San Bernardino-Ontario, CA",25,25,-,20,-
40380,"Rochester, NY",15,7,-,-,-
40900,"Sacramento–Roseville–Arden-Arcade, CA",26,20,-,33,-
41180,"St. Louis, MO-IL",11,6,-,-,-
41500,"Salinas, CA",16,-,-,-,-
41540,"Salisbury, MD-DE",10,-,-,-,-
41620,"Salt Lake City, UT",18,10,-,-,-
41700,"San Antonio-New Braunfels, TX",23,27,-,19,-
41740,"San Diego-Carlsbad, CA",27,20,-,26,34
41860,"San Francisco-Oakland-Hayward, CA",26,22,-,28,21
41940,"San Jose-Sunnyvale-Santa Clara, CA",24,27,-,22,16
42200,"Santa Maria-Santa Barbara, CA",30,-,-,-,-
42220,"Santa Rosa, CA",19,-,-,-,-
42540,"Scranton–Wilkes-Barre–Hazleton, PA",9,3,-,-,-
42660,"Seattle-Tacoma-Bellevue, WA",20,13,-,-,24
43340,"Shreveport-Bossier City, LA",18,-,-,-,-
44060,"Spokane-Spokane Valley, WA",17,8,-,-,-
44140,"Springfield, MA",12,8,-,-,-
44180,"Springfield, MO",15,-,-,-,-
44700,"Stockton-Lodi, CA",28,-,-,-,-
45060,"Syracuse, NY",12,6,-,-,-
45300,"Tampa-St. Petersburg-Clearwater, FL",22,14,-,36,-
45780,"Toledo, OH",20,11,-,-,-
46060,"Tucson, AZ",25,20,-,-,-
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",20,14,13,-,-
47300,"Visalia-Porterville, CA",11,-,-,-,-
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",19,14,16,26,28
48620,"Wichita, KS",13,8,-,-,-
49180,"Winston-Salem, NC",16,11,-,-,-
49340,"Worcester, MA-CT",17,8,-,-,-
49620,"York-Hanover, PA",11,-,-,-,-
49660,"Youngstown-Warren-Boardman, OH-PA",4,2,-,-,-
