cbsa,year,agencies,agencies_full_year,covered_pop,coverage,violent_per_100k,property_per_100k,agency_pop_over_census,zero_pop_offense_share
33700,2024,14,14,559883.0,1.0,468.8479557336086,1730.7187394509212,1.010936647972468,0.029627294933417384
33700,2025,14,14,556966.0,1.0,422.4674396641806,1371.717483652503,1.005669650756736,0.028390860476421975
33740,2021,14,10,193879.0,0.8699160885633073,1287.916690306841,3535.7104173221446,0.9721950214998325,0.00192102454642476
33740,2022,14,8,181696.0,0.8152521605104146,1356.6616766467066,4006.1421275096864,0.9981562369405316,0.0032733224222585926
33740,2023,14,8,198041.0,0.888590575024453,979.0901883953323,3560.373861978075,0.9931668018264532,0.0
33740,2024,14,6,182877.0,0.8205511918680823,947.0846525260148,3437.282982551114,0.9990760518671378,0.0
33740,2025,14,7,183229.0,0.8221305814005964,850.8478461378929,3163.25472496166,0.9975729396700008,0.0
33780,2021,9,2,6028.0,0.03874783055859099,265.42800265428,779.6947577969476,0.9994857620363823,0.6701570680628273
33780,2022,9,4,144035.0,0.9258533136208781,231.19380706078385,911.58399000243,1.0254804910972553,0.11884368308351177
33780,2023,9,4,144589.0,0.9294144115189303,244.8319028418483,844.4625801409512,1.0288873176062223,0.05405405405405406
33780,2024,9,4,144900.0,0.9314135116024941,230.50379572118703,838.5093167701863,1.0323584238606416,0.05950212507589557
33780,2025,9,4,143873.0,0.9248119817445523,286.3636679571567,779.8544549707034,1.0261618563990487,0.07367149758454106
33860,2021,23,14,148023.0,0.3838078580342838,197.94221168331947,1010.6537497551057,0.9874412175389241,0.00996126175982291
33860,2022,23,16,387412.0,1.0,118.99476526282098,765.3350954539353,1.0064860194768783,0.0005834305717619603
33860,2023,23,14,378760.0,0.9820842997984457,182.17340796282605,978.1919949308269,1.0040486996917624,0.009465855307640297
33860,2024,23,16,385315.0,0.9990807159595472,408.23741614004126,1851.2126442001997,1.006021891560351,0.00944362271020594
33860,2025,23,13,386863.0,1.0,429.0924694271616,2004.5856026552035,1.0099838326578587,0.0005307855626326964
34060,2021,21,10,135332.0,0.9431860688072701,106.40498921171637,1153.4596399964532,0.9828629987995837,0.20512820512820512
34060,2022,21,11,133737.0,0.9320698377625238,116.6468516566096,958.5978450241893,0.9815736553868702,0.2696800406297613
34060,2023,21,9,134515.0,0.9374920495197732,130.84042671820987,818.496078504256,0.9847656515113177,0.25277940315974257
34060,2024,21,8,136165.0,0.9489915988764072,96.20680791686556,739.5439356662872,0.9961327818147542,0.18481375358166188
34060,2025,21,8,136735.0,0.9529641704723353,99.46246389000622,630.4164990675395,1.0001750476492073,0.17927631578947367
34100,2021,9,7,121577.0,0.99282699781826,402.21423460029445,1821.8906536598206,0.99282699781826,0.0
34100,2022,9,7,121223.0,0.989936148749541,402.56386989267713,1762.0418567433571,0.989936148749541,0.0
34100,2023,9,6,121924.0,0.9956606832048294,408.4511663003183,1535.3826974180636,1.0070444221929493,0.0
34100,2024,9,6,124786.0,1.0,380.65167566874493,1336.6884105588767,1.03043253443253,0.0
34100,2025,9,7,129029.0,1.0,302.2576320052081,1132.3035906656642,1.0536818205868896,0.0
34580,2021,8,7,131283.0,0.9962210030277506,159.1980682952096,2780.2533458254306,0.9962210030277506,0.0043859649122807015
34580,2022,8,8,131994.0,1.0,186.37210782308287,3015.288573723048,1.0016163179821067,0.007981220657276996
34580,2023,8,8,131754.0,0.9997951146219864,161.66492098911607,2062.176480410462,0.9997951146219864,0.007452574525745257
34580,2024,8,8,133863.0,1.0,168.82932550443363,1608.3607867745382,1.0157989391490427,0.012453300124533
34580,2025,8,8,133181.0,1.0,110.37610469961932,1383.8310269482884,1.0106236862673679,0.016798418972332016
34620,2021,6,2,101526.0,0.9031116013449804,317.16013631976045,1888.1862774067727,1.030706826308954,0.0
34620,2022,6,3,99720.0,0.8870465583803305,374.047332531087,2081.829121540313,1.0199434254300912,0.057714505579068875
34620,2023,6,4,111460.0,0.9914782330231814,308.6308989772116,1924.4572043782525,1.0208685441833159,0.027734375
34620,2024,6,4,112302.0,0.9989681367752495,382.8961193923528,1514.6658118288187,1.0283762386806383,0.03922452660054103
34620,2025,6,2,100679.0,0.8955772207297764,350.619294987038,1078.6757913765532,1.031925492358875,0.0
34740,2021,12,12,175831.0,0.9986709453894869,393.55972496317486,1907.513464633654,0.9986709453894869,0.05599626691553897
34740,2022,12,12,177651.0,1.0,403.60031747640033,1952.7050227693626,1.0090080368045893,0.057207207207207206
34740,2023,12,12,177726.0,1.0,339.286317139867,2086.357651666048,1.0094340158464203,0.054190434401053096
34740,2024,12,7,110615.0,0.6282622894953568,131.9893323690277,1232.2017809519505,1.0201686877005651,0.13968072976054732
34740,2025,12,10,171501.0,0.9740777553744355,338.7735348481933,1504.3644060384488,1.0110811348081674,0.07002059429243895
34820,2021,17,11,369399.0,0.965250001823331,442.8815454291971,2798.0584679438766,0.9668962095855305,0.006390571831687277
34820,2022,17,11,378434.0,0.9888587115558257,391.8781082038083,2354.7038585327955,0.9936666834327256,0.007448433919022154
34820,2023,17,12,399078.0,1.0,364.84095840913307,2139.1808117711325,1.0442131008168292,0.010104011887072809
34820,2024,17,13,414218.0,1.0,380.7174000164165,1962.4931799197523,1.0838448994347314,0.011206193969030154
34820,2025,17,11,427566.0,1.0,345.91150839870335,1802.996496447332,1.1229305751600944,0.016063396872992075
34900,2021,10,0,0.0,0.0,,,0.8271719175648466,0.0
34900,2022,10,9,134970.0,0.9991264953215682,318.58931614432834,1460.3245165592352,0.9991264953215682,0.04036770583533174
34900,2023,10,9,133294.0,0.9867197678550278,345.1018050324846,1543.2052455474366,0.9867197678550278,0.03192307692307692
34900,2024,10,9,133999.0,0.991938588179557,302.987335726386,1239.5614892648452,0.991938588179557,0.044382801664355064
34900,2025,10,9,131374.0,0.9725068103754589,266.4149679540853,1068.704614307245,0.9725068103754589,0.050351922035733625
34940,2021,9,2,373601.0,0.9378170709360323,208.77888442482757,766.5932371701361,0.9937370253506136,0.0
34940,2022,9,5,399485.0,1.0,204.26298859781969,773.4958759402731,1.0027913538317106,0.0
34940,2023,9,4,389316.0,0.9772650254911854,161.82227290941034,703.0278745286605,1.0271328629199268,0.0
34940,2024,9,4,401084.0,1.0,140.36959838836754,667.6905585862313,1.056753344227646,0.004912496162112374
34940,2025,9,5,399251.0,1.0,91.9221241775224,484.40705220525433,1.0534976014940771,0.0017353579175704988
34980,2021,75,56,2010178.0,0.9665710099399871,602.4839591319774,2020.7165733581803,0.9762118222209377,0.018227518153044128
34980,2022,75,60,2051870.0,0.9866181294221513,600.0380141042074,2053.6388757572363,0.9914111277671147,0.01914866787959577
