search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
female:25:edu=graduate:race=nh_black,193,3.11,6.21,13.01,0.951,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,9
female:25:edu=graduate:race=nh_asian,193,2.32,7.05,22.17,0.934,"San Jose, CA | San Francisco, CA | Seattle, WA","San Jose, CA | San Francisco, CA | Seattle, WA",False,10
female:25:edu=graduate:race=nh_aian,193,3.39,6.29,14.34,0.939,"Sioux Falls, SD | Olympia, WA | Anchorage, AK","Sioux Falls, SD | Olympia, WA | Anchorage, AK",False,9
female:25:edu=graduate:race=nh_nhpi,193,6.01,12.5,101.66,0.933,"Lincoln, NE | Hickory, NC | Salt Lake City, UT","Lincoln, NE | Fayetteville, AR | Salt Lake City, UT",False,10
female:25:edu=graduate:race=nh_twoplus,193,0.94,2.41,13.3,0.975,"Ann Arbor, MI | Boulder, CO | Boston, MA","Ann Arbor, MI | Boulder, CO | Madison, WI",False,10
female:25:edu=graduate:race=nh_other,193,2.07,5.31,14.48,0.965,"Gainesville, FL | New Orleans, LA | Columbia, SC","Gainesville, FL | New Orleans, LA | Columbia, SC",False,10
female:30:undisclosed,193,1.18,2.36,3.55,0.914,"Ann Arbor, MI | Fort Collins, CO | Raleigh, NC","Ann Arbor, MI | Fort Collins, CO | Tuscaloosa, AL",False,9
female:30:edu=hs_or_less,193,1.88,4.27,7.75,0.899,"Yakima, WA | Merced, CA | Montgomery, AL","Yakima, WA | Merced, CA | McAllen, TX",False,9
female:30:edu=some_college,193,2.15,4.4,6.92,0.786,"Memphis, TN | Montgomery, AL | Jackson, MS","Memphis, TN | Montgomery, AL | Columbus, GA",False,9
female:30:edu=bachelors,193,2.35,4.61,7.24,0.913,"Ann Arbor, MI | Boulder, CO | Fort Collins, CO","Ann Arbor, MI | Fort Collins, CO | Boulder, CO",False,10
female:30:edu=graduate,193,1.53,2.75,4.28,0.96,"San Jose, CA | Ann Arbor, MI | Boston, MA","San Jose, CA | Ann Arbor, MI | Boston, MA",False,10
female:30:race=hispanic,193,1.12,2.68,10.76,0.971,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,9
female:30:race=nh_white,193,1.89,4.13,7.43,0.947,"Portland, ME | Fort Collins, CO | Pittsburgh, PA","Portland, ME | Fort Collins, CO | Pittsburgh, PA",False,9
female:30:race=nh_black,193,1.26,2.77,7.42,0.974,"Jackson, MS | Montgomery, AL | Memphis, TN","Montgomery, AL | Jackson, MS | Memphis, TN",True,10
female:30:race=nh_asian,193,1.07,2.9,7.37,0.962,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:30:race=nh_aian,193,2.88,7.4,58.86,0.899,"Yakima, WA | Anchorage, AK | Gulfport, MS","Yakima, WA | Anchorage, AK | Sioux Falls, SD",False,9
female:30:race=nh_nhpi,193,3.05,7.33,64.72,0.939,"Fayetteville, AR | Reading, PA | Honolulu, HI","Fayetteville, AR | Reading, PA | Honolulu, HI",False,10
female:30:race=nh_twoplus,193,1.03,2.67,5.66,0.936,"Fayetteville, AR | Honolulu, HI | Ann Arbor, MI","Fayetteville, AR | Honolulu, HI | Fargo, ND",False,10
female:30:race=nh_other,193,1.64,7.0,41.32,0.951,"Greensboro, NC | Flint, MI | Ocala, FL","Greensboro, NC | Ocala, FL | Flint, MI",False,9
female:30:edu=hs_or_less:race=hispanic,193,7.58,15.99,39.14,0.922,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Laredo, TX | Brownsville, TX",False,10
female:30:edu=hs_or_less:race=nh_white,193,2.85,5.71,10.36,0.959,"Canton, OH | Kingsport, TN | Erie, PA","Canton, OH | Kingsport, TN | Erie, PA",False,10
