sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,16,-2.577844968279695,-2.5778384374806844,-2.5791670189658484
male,18-70,17,-2.7841392943566605,-2.784121532069066,-2.78545011355423
male,18-70,18,-2.989130104762709,-2.9891117100196665,-2.9904402915048305
male,18-70,19,-3.190329677396235,-3.1903205212766594,-3.1916491027618235
male,18-70,20,-3.421054569599561,-3.4210286777406473,-3.4223572592258114
male,18-70,21,-3.6366885824882607,-3.6366704292129737,-3.6379990106981377
male,18-70,22,-3.8580148532935192,-3.857914378698027,-3.859242960183191
male,18-70,23,-3.812858322681454,-3.8130252060627376,-3.8143537875479017
male,18-70,24,-4.441217301991004,-4.440805500458305,-4.442134081943469
male,18-70,25,-4.15042537795543,-4.150571623963777,-4.151900205448941
male,18-70,26,-4.352076216103623,-4.352079558417822,-4.353408139902986
male,18-70,27,-4.64212768656952,-4.6420230661608874,-4.6433516476460515
male,18-70,28,-4.68340033133084,-4.683492152395533,-4.684820733880697
male,18-70,29,-5.090776265257639,-5.0905269629079015,-5.0918555443930655
male,18-70,30,-4.886416257336284,-4.8864507911988415,-4.8877793726840055
male,18-70,31,-4.79333274618907,-4.793521717219266,-4.79485029870443
male,18-70,32,-5.491847356115198,-5.491310987809046,-5.49263956929421
male,18-70,33,-5.048161927801562,-5.048269533383901,-5.049598114869065
male,18-70,34,-4.979778590729305,-4.979693869328932,-4.981022450814096
male,18-70,35,-4.675482384188906,-4.675721582325457,-4.677050163810621
male,18-70,36,-5.316037009394001,-5.315728298061964,-5.317056879547128
male,18-70,37,-5.40516871851261,-5.40478641325095,-5.4061149947361145
male,18-70,38,-4.62568461493984,-4.626124343223594,-4.627452924708758
male,18-70,39,-6.253418966570791,-6.2514183525202185,-6.2527469340053825
male,18-70,40,-5.3557554505195775,-5.355957396436722,-5.357285977921886
male,18-70,41,-5.2512169388071674,-5.251305608031413,-5.252634189516577
male,18-70,42,-5.447688558213,-5.44744396595543,-5.448772547440594
male,18-70,43,-4.9900474236321894,-4.990405604146393,-4.991734185631557
male,18-70,44,-6.534872439871672,-6.533315629773298,-6.534644211258462
male,18-70,45,-6.6968216120435216,-6.694832824243249,-6.696161405728413
male,18-70,46,-4.508359262437373,-4.508850215449522,-4.510178796934686
male,18-70,47,-4.927654172886575,-4.927458694557635,-4.928787276042799
male,18-70,48,-5.287106230807745,-5.286800086489126,-5.28812866797429
male,18-70,49,-4.966882160950473,-4.967212099362196,-4.96854068084736
male,18-70,50,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,51,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,52,-9.210340371976182,-9.210340371976182,-9.211668953461345
female,18-70,-52,-9.210340371976182,-9.210340371976182,-9.211429199759092
female,18-70,-51,-9.210340371976182,-9.210340371976182,-9.211429199759092
female,18-70,-50,-9.210340371976182,-9.210340371976182,-9.211429199759092
