cbsa,sex,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
28880,Male,some_college,68342.62463306429,67135,1207.6246330642898,2051.570617843802,2213.90501758914,True,True
28940,Male,some_college,81984.98701050023,82539,-554.0129894997663,2211.811926905179,2254.348423398539,True,True
29020,Male,some_college,7962.193845611268,8376,-413.80615438873156,750.5791097545948,527.6128348527122,True,True
29100,Male,some_college,19231.87923230017,20199,-967.120767699831,982.9898270073805,1125.048963623654,True,True
29180,Male,some_college,31663.09138276152,31762,-98.90861723848138,1573.923123916794,1514.0200721277915,True,True
29200,Male,some_college,15922.09483301479,15927,-4.905166985210599,865.9162777081858,892.1764461639146,True,True
29340,Male,some_college,23781.258507037754,24238,-456.7414929622464,1485.035353114531,1510.5051294524046,True,True
29420,Male,some_college,32466.0,32494,-28.0,1538.8154535226113,1380.242884120853,True,True
29460,Male,some_college,78574.0,78815,-241.0,2456.453134093952,2290.6704444206944,True,True
29540,Male,some_college,38183.0,38705,-522.0,1705.6063437968328,1921.8397787107542,True,True
29620,Male,some_college,48476.0,48192,284.0,1542.8032927110312,1770.3115201384755,True,True
29700,Male,some_college,21207.0,21278,-71.0,1354.4242319155398,1247.9131983525538,True,True
29740,Male,some_college,18981.0,18829,152.0,1305.429431260074,1576.567047396415,True,True
29820,Male,some_college,246537.0,247644,-1107.0,3857.343386321731,4201.508054273192,True,True
29940,Male,some_college,8324.0,8476,-152.0,762.5857328851622,954.7121406973938,True,True
30020,Male,some_college,13418.0,13618,-200.0,801.639569881627,995.8069015771833,True,True
30140,Male,some_college,10491.0,10866,-375.0,808.7379056282697,963.2763099177463,True,True
30300,Male,some_college,7691.259802460847,8120,-428.7401975391531,633.6828859926707,322.2281264868063,True,True
30340,Male,some_college,12426.0,12269,157.0,908.1398570704845,1081.0783058051345,True,True
30460,Male,some_college,41476.35604530118,41403,73.35604530118144,1536.9895900753525,1364.169294605013,True,True
30500,Male,some_college,19273.0,19299,-26.0,1182.7979540056704,1269.1355703509378,True,True
30620,Male,some_college,10306.0,10441,-135.0,690.4643365156523,716.6544025592112,True,True
30700,Male,some_college,35387.0107202172,34817,570.0107202172003,1524.1866683579146,1543.8924008843558,True,True
30780,Male,some_college,70499.0,70773,-274.0,2437.9528297323554,2593.016688144332,True,True
30860,Male,some_college,12369.322737172548,12097,272.32273717254793,724.0628425765267,650.5494252227855,True,True
30980,Male,some_college,31000.912925995934,31297,-296.0870740040664,1371.6187516945079,1229.5133944588013,True,True
31020,Male,some_college,15581.39780915821,15147,434.3978091582103,1010.9391673092897,786.3965875543702,True,True
31080,Male,some_college,1091928.0,1094299,-2371.0,8976.129343987865,7856.949949421611,True,True
31140,Male,some_college,131284.28302675963,130009,1275.2830267596291,2583.3592471818547,3273.119949896183,True,True
31180,Male,some_college,31248.500520696594,32361,-1112.4994793034057,1435.313902949456,1545.1175313140754,True,True
31340,Male,some_college,23883.0,23856,27.0,1033.0242010717852,1213.5900957417625,True,True
31420,Male,some_college,18979.899094985187,20221,-1241.1009050148132,1301.5951751600803,1064.761283185202,True,True
31540,Male,some_college,61929.14665454304,60843,1086.1466545430376,1790.1217835666935,2214.4438799431864,True,True
31700,Male,some_college,37874.80365703945,37832,42.80365703944699,1592.196595901398,1591.06390658247,True,True
31740,Male,some_college,13778.0,13839,-61.0,985.6677939346501,991.2467529404574,True,True
31860,Male,some_college,12396.0,10972,1424.0,663.5103616372543,918.3970325314102,False,False
