cbsa,sex,median,published,pub_moe,gap,gap_pct,pass_pub_moe,pass_within_3pct
22500,Female,32488.0,32170.0,1457.0,318.0,0.9884986011812248,True,True
28880,Female,42640.5,42528.0,901.0,112.5,0.2645316027088036,True,True
33860,Male,45343.158,47420.0,1359.0,-2076.841999999997,-4.379675242513701,False,False
39900,Male,52473.5,53014.0,1317.0,-540.5,-1.019542007771532,True,True
43780,Female,34216.476,33827.0,791.0,389.4760000000024,1.1513761196677281,True,True
48260,Male,45686.25,47816.0,1480.0,-2129.75,-4.454053036640455,False,False
22180,Male,41763.435,42296.0,855.0,-532.5650000000023,-1.2591379799508282,True,True
48300,Female,35797.23,36699.0,1177.0,-901.7699999999968,-2.4572059184173867,True,True
12220,Male,44687.72,47698.0,1897.0,-3010.279999999999,-6.311124156149102,False,False
48680,Female,30550.425,30863.0,2107.0,-312.5750000000007,-1.0127822959530854,True,True
48660,Male,44671.0,44113.0,2458.0,558.0,1.264933239634575,True,True
25540,Female,45686.25,45984.0,868.0,-297.75,-0.6475078288100209,True,True
18020,Female,37780.92,35444.0,1895.0,2336.9199999999983,6.5932738968513664,False,False
11700,Female,35797.23,35481.0,800.0,316.2300000000032,0.8912657478650635,True,True
17140,Male,55838.75,55392.0,744.0,446.75,0.8065244078567303,True,True
29740,Male,35797.23,34970.0,1248.0,827.2300000000032,2.365541893051196,True,True
46700,Female,44149.917,44467.0,1257.0,-317.0829999999987,-0.7130748645062601,True,True
11020,Female,33583.04,34525.0,1309.0,-941.9599999999991,-2.728341781317883,True,True
15380,Female,40610.0,40562.0,673.0,48.0,0.11833736009072532,True,True
25740,Male,47729.64,55614.0,3291.0,-7884.360000000001,-14.17693386557342,False,False
27100,Female,35797.23,35125.0,1696.0,672.2300000000032,1.9138220640569488,True,True
43900,Male,46536.399,46928.0,1345.0,-391.6010000000024,-0.8344719570405779,True,True
45500,Male,45214.629,46596.0,2162.0,-1381.3709999999992,-2.964569920164819,True,True
36980,Male,47729.64,48340.0,2827.0,-610.3600000000006,-1.2626396359122891,True,True
33500,Female,35750.176,36923.0,1485.0,-1172.8240000000005,-3.176404950843649,True,False
13980,Male,41978.8,42322.0,1474.0,-343.1999999999971,-0.8109257596521835,True,True
38240,Male,52793.0,56288.0,1814.0,-3495.0,-6.209138715179079,False,False
32780,Female,35750.176,35779.0,1029.0,-28.824000000000524,-0.08056122306380983,True,True
16580,Female,33515.79,34908.0,1193.0,-1392.2099999999991,-3.9882261945685773,False,False
30340,Male,48732.0,47202.0,1349.0,1530.0,3.241388076776408,False,False
30980,Male,47226.15,47258.0,1788.0,-31.849999999998545,-0.06739599644504327,True,True
38940,Female,35750.176,34775.0,995.0,975.1759999999995,2.804244428468726,True,True
24540,Female,40914.575,40506.0,1011.0,408.5749999999971,1.0086777267565228,True,True
12540,Male,44077.74,43394.0,822.0,683.739999999998,1.5756556205927041,True,True
17410,Female,38661.0084,38954.0,473.0,-292.9916000000012,-0.7521476613441526,True,True
21660,Female,33097.15,33071.0,1293.0,26.150000000001455,0.0790722989930799,True,True
29100,Female,36660.51,36782.0,777.0,-121.48999999999796,-0.33029742808982104,True,True
31860,Male,47729.64,44974.0,1946.0,2755.6399999999994,6.12718459554409,False,False
19100,Female,41763.435,41503.0,292.0,260.4349999999977,0.6275088547815765,True,True
42340,Male,44687.72,48992.0,1478.0,-4304.279999999999,-8.785679294578705,False,False
43620,Female,41763.435,41972.0,962.0,-208.56500000000233,-0.4969146097398321,True,True
31340,Male,46070.0409,46122.0,1893.0,-51.959100000000035,-0.11265578248991812,True,True
34980,Male,54990.765,55191.0,598.0,-200.23500000000058,-0.36280371799750066,True,True
47940,Female,31772.442,32285.0,1179.0,-512.5580000000009,-1.5876041505343066,True,True
25420,Male,54990.765,55138.0,1188.0,-147.23500000000058,-0.2670299974609173,True,True
33100,Male,47133.0195,46824.0,429.0,309.01950000000215,0.659959636084064,True,True
27180,Female,32398.597,32910.0,1350.0,-511.4029999999984,-1.5539440899422619,True,True
27140,Female,34632.51,34394.0,801.0,238.51000000000204,0.6934639762749376,True,True
49700,Male,50374.56,50290.0,1899.0,84.55999999999767,0.1681447603897349,True,True
42680,Female,36660.51,36239.0,1697.0,421.51000000000204,1.1631391594690859,True,True
38860,Female,43503.8052,43562.0,1134.0,-58.194799999997485,-0.13359074422661377,True,True
22540,Female,38183.712,36864.0,1174.0,1319.7119999999995,3.5799479166666655,False,False
40380,Female,39879.86,40397.0,583.0,-517.1399999999994,-1.280144565190483,True,True
14580,Female,35797.23,35048.0,1977.0,749.2300000000032,2.1377254051586485,True,True
15940,Female,34216.476,34524.0,924.0,-307.5239999999976,-0.8907542579075356,True,True
49740,Male,41978.8,41892.0,1589.0,86.80000000000291,0.20719946529170943,True,True
19500,Male,50762.5,50047.0,1821.0,715.5,1.4296561232441505,True,True
45780,Female,35438.493,34760.0,781.0,678.4930000000022,1.9519361334867726,True,True
32900,Female,30224.736,29774.0,1074.0,450.7360000000008,1.5138577282192545,True,True
36420,Male,48880.68,49324.0,578.0,-443.3199999999997,-0.8987916632876484,True,True
11260,Male,59662.05,60199.0,1316.0,-536.9499999999971,-0.8919583381783702,True,True
26980,Female,32217.507,31283.0,985.0,934.5070000000014,2.9872678451555204,True,True
30500,Female,54407.2991,53534.0,2860.0,873.2990999999965,1.6312980535734236,True,True
41740,Female,44687.72,44175.0,538.0,512.7200000000012,1.1606564799094536,True,True
40340,Female,47540.991,49253.0,1195.0,-1712.0089999999982,-3.475948673177265,False,False
21500,Male,45686.25,45160.0,1244.0,526.25,1.1653011514614704,True,True
33140,Male,53695.845,53430.0,2551.0,265.84500000000116,0.4975575519371162,True,True
34820,Female,32217.507,32363.0,1242.0,-145.49299999999857,-0.449565862250096,True,True
33260,Male,67210.935,68645.0,4851.0,-1434.0650000000023,-2.0891033578556377,True,True
40060,Male,55859.65,55965.0,853.0,-105.34999999999854,-0.1882426516572832,True,True
20260,Female,35533.75,36081.0,667.0,-547.25,-1.516726254815554,True,True
33740,Female,31484.1,32090.0,1419.0,-605.9000000000015,-1.888127142411971,True,True
34100,Male,41978.8,43599.0,3551.0,-1620.199999999997,-3.7161402784467468,True,False
13460,Male,56854.0,55893.0,2439.0,961.0,1.7193566278424846,True,True
10500,Male,45686.25,44789.0,2233.0,897.25,2.00328205586193,True,True
17780,Female,27929.825,28091.0,1632.0,-161.17499999999927,-0.5737602790929454,True,True
27900,Female,30457.5,30063.0,795.0,394.5,1.3122442869973057,True,True
41060,Female,35432.225,36372.0,1203.0,-939.7750000000015,-2.5837869789948353,True,True
27500,Male,51390.878,51517.0,1133.0,-126.12200000000303,-0.24481627423957728,True,True
31900,Female,32398.597,32908.0,1437.0,-509.4029999999984,-1.5479609821319997,True,True
46140,Female,35750.176,35737.0,364.0,13.175999999999476,0.036869351092703576,True,True
39460,Female,35750.176,35359.0,1347.0,391.1759999999995,1.106298255041148,True,True
47900,Female,58770.32,58623.0,570.0,147.3199999999997,0.2513006840318641,True,True
16180,Male,48039.299,43822.0,2822.0,4217.298999999999,9.623702706403174,False,False
19660,Female,37638.1236,36947.0,620.0,691.123599999999,1.870581102660565,False,True
18140,Female,42398.588,42745.0,545.0,-346.4119999999966,-0.8104152532459857,True,True
13140,Female,33410.748,32805.0,1581.0,605.7479999999996,1.8465112025605839,True,True
14540,Female,30331.78995,30127.0,1331.0,204.7899499999985,0.6797555349022422,True,True
36540,Male,55859.65,55875.0,734.0,-15.349999999998545,-0.02747203579418084,True,True
44300,Female,30457.5,30504.0,1369.0,-46.5,-0.1524390243902439,True,True
21820,Male,57275.568,55544.0,3522.0,1731.5679999999993,3.117470833933457,True,False
48060,Female,34949.6862,34974.0,1849.0,-24.31380000000354,-0.06951964316350301,True,True
11200,Male,45343.158,42521.0,2946.0,2822.158000000003,6.637092260294921,True,False
34620,Male,37780.92,37793.0,2211.0,-12.080000000001746,-0.03196359114122125,True,True
24260,Male,48880.68,48854.0,1983.0,26.68000000000029,0.05461170016784765,True,True
37460,Female,34007.3685,33604.0,1149.0,403.36849999999686,1.2003585882632926,True,True
43420,Male,42640.5,43619.0,2744.0,-978.5,-2.243288475205759,True,True
40980,Male,43992.612,46541.0,1563.0,-2548.387999999999,-5.47557637352012,False,False
49020,Female,39101.755,38056.0,1939.0,1045.7549999999974,2.747937250367872,True,True
33780,Male,59662.05,59897.0,2252.0,-234.9499999999971,-0.39225670734760854,True,True
44940,Male,44687.72,45061.0,2996.0,-373.27999999999884,-0.8283881849049041,True,True
14010,Male,54742.457,54131.0,1954.0,611.4570000000022,1.1295874822190652,True,True
23580,Female,33583.04,34144.0,973.0,-560.9599999999991,-1.6429240862230527,True,True
20940,Female,27929.825,27143.0,1941.0,786.8250000000007,2.898813690454263,True,True
24300,Female,36731.45,36373.0,1155.0,358.4499999999971,0.9854837379374731,True,True
26820,Male,50273.685,52385.0,2243.0,-2111.3150000000023,-4.03038083420827,True,False
46060,Female,34632.983,35106.0,635.0,-473.0169999999998,-1.347396456446191,True,True
44060,Male,51390.878,51746.0,891.0,-355.122000000003,-0.6862791326865904,True,True
11100,Female,33583.04,34636.0,1597.0,-1052.9599999999991,-3.0400739115371262,True,False
16740,Female,41016.1,41136.0,321.0,-119.90000000000146,-0.29147218980941625,True,True
12060,Male,54990.765,54952.0,491.0,38.76499999999942,0.07054338331634775,True,True
10420,Male,50762.5,50928.0,791.0,-165.5,-0.3249685830977066,True,True
47260,Female,38878.3164,39032.0,654.0,-153.68359999999666,-0.3937374461979828,True,True
30300,Male,47226.15,52417.0,2794.0,-5190.8499999999985,-9.902989488143158,False,False
25180,Female,39879.86,40303.0,1248.0,-423.1399999999994,-1.0498970299977655,True,True
37980,Female,45214.629,45674.0,377.0,-459.3709999999992,-1.0057603888426658,False,True
33660,Male,48880.68,49962.0,1239.0,-1081.3199999999997,-2.1642848564909327,True,True
25220,Female,29234.4045,30145.0,1446.0,-910.5954999999994,-3.0207181953889517,True,False
26900,Male,54990.765,54796.0,626.0,194.76499999999942,0.35543652821373717,True,True
21340,Female,28755.478,28806.0,782.0,-50.522000000000844,-0.175387072137752,True,True
32580,Female,25381.25,25073.0,726.0,308.25,1.229410122442468,True,True
36260,Male,58884.5,59746.0,1081.0,-861.5,-1.4419375355672346,True,True
36780,Male,52424.5293,52738.0,1176.0,-313.47069999999803,-0.5943924684288332,True,True
27780,Male,47226.15,46389.0,1614.0,837.1500000000015,1.8046304080708822,True,True
48140,Female,41763.435,40299.0,1138.0,1464.4349999999977,3.633923918707654,False,False
42200,Male,47226.15,47036.0,1226.0,190.15000000000146,0.40426481843694506,True,True
44700,Female,37825.7397,37819.0,855.0,6.739699999998265,0.017820936566271622,True,True
22660,Male,57869.25,58296.0,1920.0,-426.75,-0.7320399341292713,True,True
33540,Male,42956.676,44846.0,2197.0,-1889.3240000000005,-4.212915310172591,True,False
10900,Female,38830.39,38866.0,1049.0,-35.61000000000058,-0.09162249781300001,True,True
40140,Male,49156.492,49707.0,335.0,-550.5080000000016,-1.1075059850725284,False,True
24220,Male,47729.64,47649.0,1620.0,80.63999999999942,0.16923754958131212,True,True
28420,Male,57720.85,57107.0,2866.0,613.8499999999985,1.0749120072845686,True,True
17820,Male,55838.75,56002.0,916.0,-163.25,-0.2915074461626371,True,True
24780,Female,34216.476,34813.0,1441.0,-596.5239999999976,-1.713509321230568,True,True
28740,Male,56212.782,57309.0,2487.0,-1096.2180000000008,-1.912819975920014,True,True
41100,Female,27929.825,28718.0,2294.0,-788.1749999999993,-2.744533045476702,True,True
42220,Female,46922.106,46421.0,1179.0,501.10599999999977,1.0794812692531393,True,True
18580,Female,32175.1584,32808.0,1087.0,-632.8415999999997,-1.9289246525237738,True,True
30780,Female,39101.755,39035.0,859.0,66.75499999999738,0.17101319328806808,True,True
25980,Female,34632.983,30556.0,1306.0,4076.983,13.342659379499935,False,False
42700,Male,40326.561,40744.0,1963.0,-417.4389999999985,-1.0245410367170589,True,True
22020,Female,37990.814,38582.0,1308.0,-591.1860000000015,-1.532284484993006,True,True
27620,Male,48833.525,48977.0,1535.0,-143.47499999999854,-0.2929436266002379,True,True
49180,Male,46436.646,47220.0,1074.0,-783.3539999999994,-1.6589453621346875,True,True
34940,Male,47729.64,48431.0,1275.0,-701.3600000000006,-1.4481633664388525,True,True
33460,Male,61930.25,62902.0,522.0,-971.75,-1.54486343836444,False,True
27980,Female,39899.325,42043.0,1058.0,-2143.675000000003,-5.098767928073646,False,False
41500,Female,36660.51,36015.0,734.0,645.510000000002,1.7923365264473194,True,True
47930,Male,58770.32,58219.0,2000.0,551.3199999999997,0.946976073103282,True,True
45460,Male,43503.8052,42922.0,1353.0,581.8052000000025,1.3554941521830355,True,True
14500,Male,62968.2,61034.0,1257.0,1934.199999999997,3.169053314545986,False,False
20580,Male,41763.435,38940.0,2975.0,2823.4349999999977,7.250731895223414,True,False
27340,Male,35797.23,37648.0,1619.0,-1850.7699999999968,-4.915984912877169,False,False
14020,Female,28637.784,28469.0,2004.0,168.78399999999965,0.5928694369313978,True,True
