cbsa,sex,band,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
39380,Female,55-59,4783.39782454241,5130,-346.6021754575904,383.0,393.3216358669141,True,True
19740,Female,60-64,87705.77566672557,87485,220.7756667255744,1960.1584119657268,1759.418395944125,True,True
14500,Female,60-64,9864.225922975154,9649,215.2259229751544,657.5416336628426,603.625630760952,True,True
24540,Male,25-29,12475.0,12496,-21.0,85.0,215.89708480546932,True,True
24300,Female,18-24,6501.680334009556,6558,-56.319665990444264,385.83545715758163,289.97999182153393,True,True
17820,Male,55-59,21899.0,21423,476.0,772.0,1028.1642160520857,True,True
27180,Female,30-34,6083.503919441315,6069,14.503919441314792,237.0,252.158152869137,True,True
28940,Female,65-69,29003.851585381824,30117,-1113.1484146181756,1176.265701276714,910.8125137554952,True,True
28940,Female,50-54,30444.231390240537,30497,-52.76860975946329,230.0,462.5122463514928,True,True
34980,Male,25-29,75746.94014884379,75913,-166.05985115621297,379.0,818.1821749224732,True,True
32820,Female,25-29,48213.298432168274,48348,-134.7015678317257,243.0,433.830625067073,True,True
17420,Female,18-24,5683.0,5875,-192.0,454.43261326625753,306.64053139629146,True,True
17420,Female,30-34,4316.0,4167,149.0,50.0,174.99004029158345,False,True
17300,Female,60-64,9059.928812485776,9127,-67.07118751422422,709.3412436902285,618.5494672364208,True,True
28700,Male,25-29,9429.819964842147,9282,147.81996484214687,178.0,184.58943727986633,True,True
45060,Male,40-44,18839.338527572232,19267,-427.6614724277679,744.0,835.9143054597009,True,True
40380,Female,65-69,33639.43882333285,33672,-32.561176667149994,1059.2015861015316,1036.2164015915769,True,True
40380,Female,50-54,33386.578840822345,33929,-542.4211591776548,230.0,358.8998425548552,False,False
10580,Female,25-29,28831.193712139087,28583,248.19371213908744,113.0,254.66428672113932,False,True
45060,Male,45-49,17300.596184479808,17126,174.59618447980756,89.0,426.3794278015568,False,True
45060,Male,35-39,20322.513384573427,20014,308.5133845734272,725.0,775.577278126629,True,True
46540,Male,25-29,8545.411124476454,8663,-117.58887552354645,30.0,214.75244707797677,False,True
15380,Female,18-24,50727.0,50465,262.0,1511.615030356605,740.5288663617374,True,True
15380,Male,18-24,51478.0,51165,313.0,1505.592906465755,747.5423728023717,True,True
15380,Female,30-34,40573.0,40598,-25.0,82.0,373.2675006044593,True,True
21300,Female,18-24,3075.763711512124,3166,-90.23628848787621,322.21886971436044,163.50098332562914,True,True
48060,Male,60-64,3625.876366281592,3118,507.8763662815918,273.40263349134,259.9533334280402,False,False
15380,Male,30-34,40979.0,40688,291.0,65.0,503.4142141529677,False,True
48060,Female,30-34,3692.2595339673508,3820,-127.74046603264924,165.0,141.06895331455564,True,True
30700,Male,18-24,25649.48183035921,25291,358.481830359211,981.7418194209718,834.8012448709045,True,True
24260,Male,55-59,2658.523801305153,2478,180.52380130515303,221.0,273.0252105313591,True,True
30700,Male,30-34,10776.210759167043,11390,-613.7892408329571,30.0,909.2449214178919,False,True
24260,Female,25-29,2239.9690928851533,2280,-40.03090711484674,92.0,111.88209413173686,True,True
12580,Female,40-44,97751.01895595706,97977,-225.9810440429428,2014.0,2290.1702867136846,True,True
12580,Female,35-39,104665.01748838862,103660,1005.0174883886211,2023.0,2349.0332880615033,True,True
12580,Female,45-49,86905.08053243758,86349,556.0805324375833,120.0,782.159189273439,False,True
25180,Male,60-64,10411.087129404932,9904,507.08712940493206,732.942698988127,751.0408878647452,True,True
25180,Female,60-64,10038.87140585895,9817,221.8714058589503,686.644740750266,637.1193349528287,True,True
41540,Male,30-34,4314.577636089028,4664,-349.4223639109723,303.0,279.0016254458286,False,True
41540,Male,18-24,7689.062165203697,8138,-448.9378347963029,653.6145653211838,385.8303078503054,True,True
17410,Male,30-34,71588.0,71455,133.0,302.0,597.5258428208357,True,True
17410,Male,18-24,89140.0,89249,-109.0,1802.4990984741157,923.9075538460274,True,True
44220,Female,35-39,4011.0,3986,25.0,320.0,339.14119669947206,True,True
48540,Male,65-69,5086.320178564994,4813,273.3201785649944,374.41287371029324,340.08510431428215,True,True
44220,Female,40-44,3972.0,4012,-40.0,310.0,358.9460111597565,True,True
41780,Female,18-24,4390.0036889545,4078,312.0036889544999,374.7799354287793,225.773249057536,True,True
49020,Female,25-29,4236.844776947133,4393,-156.15522305286686,203.0,198.40687376638203,True,True
40060,Male,40-44,42106.253717667416,41673,433.2537176674159,1315.0,1639.676238014607,True,True
40060,Male,45-49,38085.44625493172,38400,-314.5537450682823,436.0,652.0576435512227,True,True
40060,Female,18-24,58761.2554357692,58494,267.2554357691988,1278.0868515089262,1002.3934800344614,True,True
47260,Male,55-59,51843.99876691399,52756,-912.0012330860118,1358.0,1458.7401388022017,True,True
40060,Male,35-39,48094.30509897808,48422,-327.69490102191776,1358.0,1703.0079753551138,True,True
40220,Female,45-49,9406.48649391547,9504,-97.51350608452958,317.0,321.84124043718066,True,True
40060,Female,30-34,51080.2036569973,50996,84.20365699729882,490.0,556.2908890593275,True,True
31340,Female,60-64,8796.0,9122,-326.0,583.211796862855,696.2422419406195,True,True
40220,Female,40-44,9089.842612799914,9027,62.842612799913695,757.0,724.1127438026837,True,True
43100,Male,55-59,4659.0,4314,345.0,295.0,452.7747079591571,False,True
24580,Male,65-69,9555.209244690439,9604,-48.790755309561064,714.3563536499133,866.4999305219499,True,True
33340,Female,45-49,45825.0,45697,128.0,137.0,858.08094492303,True,True
33460,Male,55-59,115209.40362618536,116417,-1207.5963738146384,1945.0,2845.947585743659,True,True
33460,Female,25-29,125544.61978893455,124165,1379.6197889345494,222.0,1771.4987950518353,False,True
20260,Male,65-69,10489.9838036832,9920,569.9838036832007,457.08861285313156,459.8668801717531,False,True
33340,Male,18-24,67278.0,68136,-858.0,1508.9158359563996,974.6804074304305,True,True
33340,Male,30-34,53465.0,53759,-294.0,171.0,961.3146927359428,False,True
48140,Male,25-29,4296.0,4267,29.0,69.0,242.81503928401966,True,True
11540,Male,60-64,8164.892394320276,8230,-65.10760567972375,529.1200241911092,618.2137085034152,True,True
24580,Male,50-54,10210.3001090372,10219,-8.699890962800055,80.0,369.90887134439976,True,True
36780,Female,18-24,9739.0,9734,5.0,534.2686590096783,499.0170607191201,True,True
20260,Male,50-54,8244.414718888354,8513,-268.5852811116456,147.0,212.7561276418963,False,False
22540,Male,55-59,3781.9268920704326,3791,-9.073107929567414,264.0,323.1418858605823,True,True
27500,Female,40-44,5247.0,5144,103.0,382.0,625.4755316067528,True,True
29100,Male,30-34,5513.518433304832,5179,334.5184333048319,244.0,473.46047967149,False,True
36780,Female,30-34,5013.0,5159,-146.0,149.0,211.0977936762959,True,True
29100,Male,18-24,10492.287917840269,10086,406.2879178402691,656.4434476784729,532.7461744250246,True,True
45460,Male,35-39,5654.177964631291,5968,-313.8220353687093,468.0,526.8666976913296,True,True
