cbsa,category,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
31700,white alone,348994.3600477132,347760.0,1234.3600477132131,1582.0,2066.7789275697387,True,True
31700,asian alone,17576.560806923888,18375.0,-798.4391930761121,632.0,831.8744047677693,False,True
42140,two or more races,41640.38000536654,39902.0,1738.38000536654,2078.0,2087.162081035263,True,True
42140,native hawaiian and other pacific islander alone,204.42713835568478,155.0,49.427138355684775,114.0,126.1322131339003,True,True
21300,white alone,72232.15945113057,69816.0,2416.159451130574,406.0,433.73157372416273,False,False
35620,two or more races,2466051.2944962597,2456192.0,9859.294496259652,19260.0,23133.083441269635,True,True
10580,asian alone,44944.1583502017,45067.0,-122.84164979829802,1115.0,1487.4615474475572,True,True
35620,native hawaiian and other pacific islander alone,7804.488863849982,9038.0,-1233.5111361500176,1137.0,1285.050445068914,False,True
21300,asian alone,1500.87683284686,1271.0,229.87683284686,157.0,144.00352508534584,False,False
19340,white alone,295610.10995611927,297562.0,-1951.8900438807323,1317.0,1637.241397612947,False,True
19340,asian alone,9483.441731286308,9246.0,237.4417312863079,505.0,592.2770011805343,True,True
21140,some other race alone,18813.0,20312.0,-1499.0,1952.0,1970.558744821504,True,True
26900,some other race alone,83286.94977335664,79618.0,3668.9497733566386,3973.0,5319.364920280079,True,True
14020,black or african american alone,5041.842680974842,5168.0,-126.15731902515836,398.0,711.880285860634,True,True
31140,two or more races,117850.97372475514,117559.0,291.9737247551384,3353.0,4262.405543957488,True,True
29200,two or more races,19359.108125634888,17064.0,2295.108125634888,1236.0,1537.3614686018407,False,False
23060,two or more races,38981.010239683616,36101.0,2880.0102396836155,2198.0,2249.934217420397,False,True
45460,some other race alone,1584.107953555214,1970.0,-385.89204644478605,393.0,428.47933269149104,True,True
14540,american indian and alaska native alone,937.8456568599987,768.0,169.8456568599987,510.0,679.0532054821197,True,True
31140,native hawaiian and other pacific islander alone,176.96323717130457,490.0,-313.03676282869543,163.0,102.88070182880546,False,False
27900,american indian and alaska native alone,2302.02183595111,2397.0,-94.97816404889,369.0,438.9868987627522,True,True
37980,black or african american alone,1255277.9914152373,1259533.0,-4255.008584762691,5591.0,9040.559441214093,True,True
30500,american indian and alaska native alone,352.0,355.0,-3.0,179.0,186.87337565514787,True,True
25180,black or african american alone,26204.884218699317,27644.0,-1439.115781300683,1046.0,1765.4927946780329,False,True
27620,some other race alone,1646.6433707914643,1658.0,-11.35662920853565,456.0,446.4990982456115,True,True
20260,american indian and alaska native alone,5380.404834577043,4970.0,410.4048345770434,395.0,407.8138194335704,False,True
33460,some other race alone,120508.02720332208,119854.0,654.0272033220826,4259.0,6821.593274640339,True,True
28450,black or african american alone,10363.0,10300.0,63.0,670.0,1140.891525925011,True,True
39540,two or more races,21402.0,23315.0,-1913.0,1588.0,2556.0172297399527,False,True
43100,two or more races,8298.0,7858.0,440.0,696.0,1057.4165690977704,True,True
43100,native hawaiian and other pacific islander alone,88.0,169.0,-81.0,119.0,101.10596095804638,True,True
20740,black or african american alone,1860.4911474826931,2443.0,-582.5088525173069,298.0,432.399514987795,False,False
48140,black or african american alone,1117.0,800.0,317.0,239.0,313.19434896721873,False,True
36780,some other race alone,1488.0,2203.0,-715.0,510.0,567.3508178356227,False,True
20020,white alone,105393.0,104830.0,563.0,633.0,699.9413143087427,True,True
26620,white alone,336715.47988592274,337850.0,-1134.5201140772551,1429.0,2356.606489901925,True,True
19460,white alone,117295.0,117159.0,136.0,798.0,1000.1903698102927,True,True
20020,asian alone,1284.0,1352.0,-68.0,259.0,240.7577064420784,True,True
26620,asian alone,12309.710799176162,12327.0,-17.289200823837746,686.0,698.1108172051847,True,True
33660,some other race alone,6320.0,5863.0,457.0,1129.0,1139.6646784816796,True,True
19460,asian alone,900.0,895.0,5.0,159.0,165.20911161313109,True,True
49340,two or more races,101749.0,101798.0,-49.0,3638.0,4417.2624503109955,True,True
44140,two or more races,73799.0,73336.0,463.0,2987.0,3282.694009919292,True,True
12700,two or more races,17440.14878220031,16406.0,1034.148782200311,1625.0,1776.0378938892943,True,True
19820,white alone,2823586.7672033925,2825336.0,-1749.232796607539,4018.0,5656.100555197966,True,True
