cbsa,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
28660,34267.35430537899,33746.0,521.3543053789908,580.0,680.1995822612181,True,True
36220,36038.29595491695,36118.0,-79.70404508304637,1509.0,1739.8607994517304,True,True
49620,41391.21211657791,41601.0,-209.7878834220901,556.0,745.9534315271763,True,True
23900,41160.87500615734,40973.0,187.87500615733734,773.0,1109.9978112957235,True,True
13780,35996.03791866541,37016.0,-1019.96208133459,907.0,826.2860564999027,False,True
28880,47003.43542364622,47550.0,-546.5645763537832,798.0,744.0735000758358,True,True
17300,32904.060038744494,33014.0,-109.9399612555062,554.0,578.4536634564889,True,True
28140,45651.78790518042,45685.0,-33.21209481958067,468.0,466.7100362673069,True,True
24540,43662.55810172603,43312.0,350.5581017260265,965.0,961.1186611143746,True,True
29460,32983.95484902918,33249.0,-265.04515097082185,614.0,563.1438255274154,True,True
42680,48871.296163380124,48370.0,501.2961633801242,1562.0,1503.9264805211833,True,True
15540,48769.600719578666,49764.0,-994.399280421334,969.0,1345.1501855057181,False,True
45940,54236.263944916376,53765.0,471.2639449163762,1398.0,1132.0797444525306,True,True
47220,34180.318257747786,32721.0,1459.3182577477855,1376.0,1151.0273080419804,False,True
45060,40744.450247746,41532.0,-787.5497522540027,518.0,613.0873742115839,False,True
35660,39404.09612754463,38351.0,1053.0961275446316,895.0,1357.896742744976,False,True
22180,32176.58403519935,32646.0,-469.4159648006498,668.0,637.2226012401418,True,True
15500,34463.15534208063,34547.0,-83.84465791936964,941.0,902.0648458864642,True,True
22140,27831.003599884807,28099.0,-267.99640011519296,969.0,963.3327319037166,True,True
14540,33799.22085671298,34032.0,-232.77914328702172,1471.0,1063.800468954,True,True
33860,33886.3879489346,35896.0,-2009.6120510654,938.0,767.3466589158742,False,False
46220,33938.4827068984,33687.0,251.48270689840137,818.0,857.904743800385,True,True
14860,70851.88219786603,71978.0,-1126.1178021339729,1066.0,1202.0431751510644,False,True
31860,38817.348801006956,39431.0,-613.6511989930441,1687.0,1423.0870239268634,True,True
24220,39780.87676699823,39465.0,315.8767669982335,1023.0,1125.9516505749195,True,True
20220,39057.631807535785,41404.0,-2346.368192464215,1101.0,1088.599328907304,False,False
26980,42011.8306356222,44369.0,-2357.169364377798,1638.0,1449.9975752717603,False,False
16180,42558.384411421335,39432.0,3126.3844114213352,2316.0,1172.2906427898447,False,False
13220,30465.80129723906,28557.0,1908.8012972390607,962.0,1427.3190429885424,False,False
40140,36240.51574863968,36450.0,-209.48425136032165,242.0,248.4485800506586,True,True
41500,41973.16164058224,40422.0,1551.1616405822424,856.0,865.8843823113398,False,False
43340,33549.268943212955,34556.0,-1006.7310567870445,1179.0,879.8368275904427,True,True
29180,35279.260480181314,35892.0,-612.739519818686,760.0,837.6027108596105,True,True
29340,35007.03176850596,35427.0,-419.96823149403644,1098.0,1194.3536305280384,True,True
42540,36639.704712902436,36939.0,-299.29528709756414,544.0,589.8016492237456,True,True
16860,40719.40445857191,41227.0,-507.59554142809066,675.0,748.6910947583314,True,True
17820,46383.59888528118,46283.0,100.59888528117881,668.0,643.1183027027905,True,True
35840,52060.092437354644,52393.0,-332.90756264535594,913.0,894.235404957432,True,True
39460,43143.31174904414,42592.0,551.3117490441364,1254.0,1416.0072963094854,True,True
46540,37202.10638216734,37763.0,-560.8936178326621,674.0,792.1177818858204,True,True
48060,35485.78358312498,36025.0,-539.2164168750169,1152.0,1064.7612468583236,True,True
39300,46565.10845638187,46322.0,243.1084563818731,491.0,521.9006997150835,True,True
49180,37125.01617242882,37543.0,-417.9838275711809,484.0,523.6682498340331,True,True
26580,32086.730752538806,33619.0,-1532.269247461194,723.0,648.1225453532616,False,False
42660,64032.95973720537,63994.0,38.95973720536858,409.0,477.0623110046733,True,True
25540,52357.98583341993,52245.0,112.98583341993071,571.0,601.8014399903649,True,True
31540,51106.23608379495,51478.0,-371.7639162050473,888.0,888.8553793279569,True,True
27500,38602.48434219375,38536.0,66.48434219374758,1081.0,1222.6132510529064,True,True
22540,40774.285978300104,39105.0,1669.285978300104,967.0,1228.0580216409583,False,False
20740,40655.388063665116,40975.0,-319.6119363348844,1111.0,1354.1478521662061,True,True
43420,31742.08252874889,33002.0,-1259.9174712511085,997.0,1004.5250053439952,False,True
34620,30969.502761473133,31091.0,-121.49723852686657,1096.0,1099.6075781870077,True,True
45460,31254.699671283386,32258.0,-1003.3003287166139,1020.0,806.6510228063686,True,True
13740,40403.54340103767,44339.0,-3935.4565989623297,1481.0,1433.6913032038549,False,False
34060,38117.52715460428,38900.0,-782.4728453957214,1062.0,1151.5302929689528,True,True
19500,36106.37257719493,36605.0,-498.6274228050679,955.0,974.5739389722202,True,True
19100,46153.154261771735,45949.0,204.15426177173504,264.0,244.01274927827964,True,True
17780,35232.5670065288,34582.0,650.5670065287995,806.0,899.1568546428917,True,True
32820,37817.87351267467,37885.0,-67.12648732533125,531.0,546.3475493553459,True,True
27740,34543.41880468715,34444.0,99.41880468714953,982.0,998.0712375553634,True,True
30500,56023.88523844965,55350.0,673.8852384496495,1180.0,1408.2504559000997,True,True
19740,57723.29960144392,57998.0,-274.7003985560805,401.0,465.5910884450767,True,True
33100,43733.44095696954,43766.0,-32.55904303045827,306.0,267.3963769329458,True,True
23580,38383.53033055298,38556.0,-172.46966944701853,1137.0,971.5990819917206,True,True
45900,44850.275671322226,45393.0,-542.7243286777739,984.0,1421.1035565891855,True,True
43780,36839.02181531196,37216.0,-376.97818468804326,931.0,896.421496832256,True,True
12980,36253.35183440532,34349.0,1904.3518344053227,901.0,1081.5362245776705,False,False
11700,42014.833590815564,42135.0,-120.1664091844359,973.0,881.3472686149935,True,True
28420,40958.78631320821,39747.0,1211.786313208213,821.0,817.096912917667,False,False
34580,45709.67291655914,45140.0,569.6729165591387,907.0,1031.2869020036617,True,True
44060,41577.17965594531,41549.0,28.179655945306877,627.0,780.7686766692475,True,True
13460,50361.36160551228,50147.0,214.36160551227658,1500.0,1446.1790697143572,True,True
20260,39652.081536480364,40786.0,-1133.9184635196361,798.0,756.965783617275,False,False
