cbsa,sex,band,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
31900,Female,25-34,hs_or_less,3098.0,3005,93.0,432.9584275655112,507.841100611205,True,True
32580,Female,25-34,hs_or_less,24851.0,25050,-199.0,1517.2956205037963,1211.6863870769118,True,True
32780,Female,25-34,hs_or_less,4371.0,4537,-166.0,575.2234348494504,581.8695432375715,True,True
32820,Female,25-34,hs_or_less,31109.28700986087,31503,-393.71299013913085,1648.5693797957065,1585.2834507954044,True,True
32900,Female,25-34,hs_or_less,8776.0,8301,475.0,663.4952901113918,710.3085427817618,True,True
33100,Female,25-34,hs_or_less,112545.42007691442,114819,-2273.5799230855773,3301.8459988315626,2714.9117867204272,True,True
33140,Female,25-34,hs_or_less,2650.0,2554,96.0,374.75058372202705,426.645583918901,True,True
33220,Female,25-34,hs_or_less,1283.5658583819077,764,519.5658583819077,157.77832550765646,233.04138669725398,False,False
33260,Female,25-34,hs_or_less,4083.906211678061,4010,73.90621167806103,656.8119974543705,701.4810721802244,True,True
33340,Female,25-34,hs_or_less,26840.0,26574,266.0,1291.4557677288062,1962.488205885898,True,True
33460,Female,25-34,hs_or_less,44693.41565563512,45145,-451.5843443648773,1582.095129883156,2327.1855229029807,True,True
33500,Female,25-34,hs_or_less,1239.0074720157124,1426,-186.99252798428756,266.97565432076385,285.32132828771734,True,True
33540,Female,25-34,hs_or_less,1955.9107963260549,1679,276.9107963260549,371.96370790710216,385.3393201988938,True,True
33660,Female,25-34,hs_or_less,10690.0,10270,420.0,805.3638929080444,881.6570059120213,True,True
33700,Female,25-34,hs_or_less,13970.0,13882,88.0,992.0912256440937,967.6354375544801,True,True
33740,Female,25-34,hs_or_less,5473.896164028943,4836,637.8961640289426,590.2956886171539,652.2466645556799,False,True
33780,Female,25-34,hs_or_less,2313.0,2651,-338.0,438.06506366063934,437.21689371094755,True,True
33860,Female,25-34,hs_or_less,8422.671499937234,8851,-428.32850006276567,868.3467049514267,889.6170146219633,True,True
34060,Female,25-34,hs_or_less,2703.977574310091,2430,273.97757431009086,337.71289581536564,438.6433156541204,True,True
34100,Female,25-34,hs_or_less,2787.5594162207135,2581,206.5594162207135,406.38651552432196,409.5524994271943,True,True
34580,Female,25-34,hs_or_less,2671.0,2483,188.0,307.06025467324815,366.59757843751504,True,True
34620,Female,25-34,hs_or_less,1885.0,2126,-241.0,305.64521916758326,315.8423561110036,True,True
34740,Female,25-34,hs_or_less,4224.0,4253,-29.0,477.38558838741665,498.57138604341304,True,True
34820,Female,25-34,hs_or_less,6372.560595941013,6256,116.56059594101316,740.9493909842965,784.0785924244708,True,True
34900,Female,25-34,hs_or_less,1844.0,1870,-26.0,301.21918929576844,344.9235905856542,True,True
34940,Female,25-34,hs_or_less,6126.0,6253,-127.0,633.8982568204459,725.6388491003979,True,True
34980,Female,25-34,hs_or_less,38438.69628079776,37458,980.6962807977616,1954.5081222650367,1953.2361754042115,True,True
35300,Female,25-34,hs_or_less,8786.0,8772,14.0,827.8272766706833,871.3798067017048,True,True
35380,Female,25-34,hs_or_less,19238.0,18341,897.0,1287.2466741071814,1446.7896574247586,True,True
35620,Female,25-34,hs_or_less,310542.11144578474,310276,266.1114457847434,5372.106290832303,5416.051125302883,True,True
35660,Female,25-34,hs_or_less,2348.0,2441,-93.0,380.6231732304275,449.86810247977127,True,True
35840,Female,25-34,hs_or_less,12465.0,12474,-9.0,980.9475011436647,969.0256444413636,True,True
35980,Female,25-34,hs_or_less,4876.0,4469,407.0,567.8362439999757,621.3451572686876,True,True
36100,Female,25-34,hs_or_less,8795.0,9005,-210.0,1028.5966167550814,1064.4012509487436,True,True
