cbsa,sex,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
25620,Male,1,10016.461301748652,10186,-169.53869825134825,923.4424724908423,659.9641834409497,True,True
25740,Male,1,6695.5356419711115,5775,920.5356419711115,577.5075757078863,474.47127754191786,False,False
25860,Male,1,31566.61282422861,31483,83.6128242286104,1709.0953747523863,1516.1803895389874,True,True
25940,Male,1,16277.625807480928,16811,-533.3741925190716,1099.6572193188204,1165.2319670920729,True,True
25980,Male,1,7932.379380288936,9280,-1347.6206197110641,906.7860828221836,582.2895117194884,False,False
26140,Male,1,8715.0,9073,-358.0,960.1156180377444,767.6645027052834,True,True
26300,Male,1,8017.018541510731,8220,-202.98145848926924,812.3983013276185,685.3907611269218,True,True
26380,Male,1,11189.712614446722,11084,105.712614446722,977.9161518248893,929.1448280181903,True,True
26420,Male,1,508496.13027973456,511508,-3011.869720265444,7539.4934843131205,6992.858165154144,True,True
26580,Male,1,22035.087835075057,22617,-581.9121649249428,1310.2724907438146,1260.6070390543812,True,True
26620,Male,1,30240.84246613743,30127,113.84246613743016,1663.3379091453426,1728.6409204072681,True,True
26820,Male,1,11255.268291230963,10944,311.26829123096286,832.1946887597877,961.4642284998113,True,True
26900,Male,1,142595.57776351395,145383,-2787.422236486047,3784.506440739664,4626.512581840284,True,True
26980,Male,1,10515.808714224897,12141,-1625.191285775103,922.0330796668849,1142.8224523314937,False,False
27060,Male,1,7188.0,7023,165.0,798.6156772816321,862.1698290497935,True,True
27100,Male,1,10410.0,10067,343.0,800.9038643932241,1003.9415593132153,True,True
27140,Male,1,39036.063393391036,40195,-1158.9366066089642,1967.6094632827928,1634.0871507417319,True,True
27180,Male,1,14147.037974149662,14105,42.03797414966175,934.4335182344435,1080.466675187769,True,True
27260,Male,1,119985.55464718484,119824,161.55464718483563,3731.9945069627315,3840.530544656088,True,True
27340,Male,1,28916.673416311372,27764,1152.6734163113724,1956.1692155843778,1823.2088572886585,True,True
27500,Male,1,12287.0,12737,-450.0,926.7130084335711,1455.3960750904719,True,True
27620,Male,1,10400.95079695735,10857,-456.04920304265033,830.3005479945199,778.4212527903491,True,True
27740,Male,1,15506.937068332994,15602,-95.06293166700561,1037.345651169368,1064.6459186158493,True,True
27780,Male,1,8682.0,9024,-342.0,577.4123310079202,704.5080046599898,True,True
27860,Male,1,10735.0,10951,-216.0,901.0277465206052,949.7078800603636,True,True
27900,Male,1,17234.641805172832,16638,596.6418051728324,969.6215756675384,907.6531378512708,True,True
27980,Male,1,10711.123986623748,10846,-134.87601337625165,811.9538164206139,857.3195887265412,True,True
28020,Male,1,16874.0,16425,449.0,1120.1620418493033,1483.8759405544151,True,True
28100,Male,1,6319.676840331336,6708,-388.3231596686637,638.6744084429874,564.2065456831651,True,True
28140,Male,1,147944.0463297894,147733,211.04632978938753,3322.674976581369,3297.421523700916,True,True
28420,Male,1,18775.99110710667,19294,-518.0088928933292,1310.4499227364622,1297.0413587271557,True,True
28450,Male,1,11732.0,11175,557.0,867.0403681490268,1176.0233166178084,True,True
28660,Male,1,45398.33554078067,43656,1742.3355407806666,2118.348649302093,1883.8940848672712,True,True
28700,Male,1,23318.562970139268,23330,-11.437029860731855,1259.764263662055,925.2217217818321,True,True
28740,Male,1,9252.34802723082,9450,-197.65197276917934,859.2060288429079,757.4527057846935,True,True
28880,Male,1,37289.55917771409,38526,-1236.4408222859129,1751.5615889828139,1495.0042385571471,True,True
28940,Male,1,69836.57330555898,69585,251.5733055589808,2365.764781207126,2355.369466505339,True,True
29020,Male,1,5464.424045904996,5028,436.4240459049961,582.5512852959815,497.5950155732167,True,True
29100,Male,1,12498.289122237546,11939,559.2891222375456,776.5597208199766,1077.1926848134144,True,True
29180,Male,1,26178.816709307826,25992,186.8167093078264,1402.6186224344806,1818.6802490496345,True,True
29200,Male,1,18099.425463603606,18519,-419.57453639639425,1158.1558617042872,1216.2495558996834,True,True
29340,Male,1,13106.588695890154,13399,-292.41130410984624,1216.307937982812,1080.0586214611706,True,True
29420,Male,1,13776.0,13327,449.0,1086.0050644449132,1237.4854041896817,True,True
29460,Male,1,64774.0,64448,326.0,2423.6940813559786,2241.2710576902564,True,True
29540,Male,1,36043.0,35774,269.0,1578.801760830029,1914.3317768985999,True,True
29620,Male,1,32780.0,32242,538.0,1422.4756588427094,1447.1695722301345,True,True
29700,Male,1,22509.0,22507,2.0,1571.7808371398348,1695.3235044339622,True,True
29740,Male,1,16096.0,16934,-838.0,1372.0255099669248,1574.1179830777457,True,True
29820,Male,1,189685.0,192102,-2417.0,3804.1854581500097,3982.6348930375234,True,True
29940,Male,1,9073.0,8753,320.0,902.5242379016754,1052.472362690584,True,True
30020,Male,1,10450.0,10110,340.0,743.1500521429034,923.4319258809769,True,True
30140,Male,1,9407.0,9421,-14.0,838.0155129829042,958.2133472099259,True,True
30300,Male,1,3867.3455561775013,3712,155.3455561775013,436.17771607453767,280.4454732192001,True,True
30340,Male,1,8663.0,8768,-105.0,737.573725128546,1102.310682690003,True,True
30460,Male,1,38793.09654774426,38598,195.09654774425871,1626.9646584975349,1639.9731196421196,True,True
30500,Male,1,8687.0,8896,-209.0,949.0136985312699,861.305490149256,True,True
30620,Male,1,6312.0,6473,-161.0,578.5231196763012,672.6407816091365,True,True
30700,Male,1,25909.73928090369,25458,451.7392809036901,1440.470062167208,1905.5714324465005,True,True
30780,Male,1,56743.0,56339,404.0,2245.0425385724875,2119.822629587497,True,True
30860,Male,1,9908.743071399716,10698,-789.2569286002836,762.6211379184293,689.4500430038719,False,True
30980,Male,1,20411.67775250277,20864,-452.32224749723173,1330.0981166816227,1345.1889065772034,True,True
31020,Male,1,5843.727753180894,6162,-318.27224681910593,636.329317256403,592.6310497873392,True,True
31080,Male,1,960426.0,963353,-2927.0,7963.148937449305,7927.365650140815,True,True
31140,Male,1,95858.06437213218,96676,-817.935627867817,2611.5905115465557,2810.1771180007836,True,True
31180,Male,1,27091.5669376311,27553,-461.4330623688984,1315.9962006024182,1196.4224305631312,True,True
31340,Male,1,18560.0,18695,-135.0,1074.2588142528782,1267.7129290133078,True,True
31420,Male,1,14150.408853462352,14372,-221.59114653764846,1101.1153436402565,1041.3879983428296,True,True
31540,Male,1,43800.392742996504,43568,232.39274299650424,1704.0554568440548,2453.7191813695554,True,True
31700,Male,1,26899.376412031408,26832,67.37641203140811,1492.6654012202466,1536.997680925318,True,True
31740,Male,1,15165.0,15125,40.0,983.1698734196447,1004.7636569226117,True,True
31860,Male,1,6460.0,7204,-744.0,562.5877709300123,720.4122510748621,False,True
31900,Male,1,9220.0,8776,444.0,873.8981634034941,969.7803087826129,True,True
32580,Male,1,61511.0,62022,-511.0,2278.555463446084,2471.2386105721357,True,True
32780,Male,1,14914.0,15108,-194.0,1224.4827479389,1057.217069151364,True,True
32820,Male,1,93601.61633020196,93661,-59.38366979804414,2864.668741757064,2806.8107677204925,True,True
32900,Male,1,22281.0,22568,-287.0,1468.7331275626625,1432.1548462304102,True,True
33100,Male,1,513785.73556885513,517582,-3796.2644311448676,7455.1853095681,6098.577138911091,True,True
33140,Male,1,6379.0,6938,-559.0,692.6644209139083,729.2276836223718,True,True
33220,Male,1,4905.858327236401,4307,598.8583272364012,393.45520710749275,351.68706736230706,False,False
33260,Male,1,10985.341501085846,11289,-303.6584989141538,1190.2932411805084,1123.915265573303,True,True
33340,Male,1,92730.0,94347,-1617.0,2485.9010438873065,3493.6376815006515,True,True
33460,Male,1,212202.23461232995,210192,2010.2346123299503,3683.7751017129153,5672.155004574725,True,True
33500,Male,1,5369.138917809347,6646,-1276.8610821906532,749.7232822848707,619.7920855326475,False,False
