cbsa,alpha,beta,n_fit_points,fallback,val_p90_rel_err
44300,0.2944230652794373,-0.5335451468421855,64,False,0.29591230043699723
44420,0.18853980593527256,-0.5685049659850957,56,False,0.3688767702280416
44700,0.46885148260389986,-0.5671247353185597,91,False,0.30928678314728597
44940,0.5277316004503942,-0.6362713280474779,52,False,0.2902422586779727
45060,0.35041406941993514,-0.5392684164932264,91,False,0.457739114724476
45220,0.4174046196918459,-0.5730030809592948,88,False,0.29516553616449176
45300,0.49072062832357105,-0.5543508970064325,109,False,0.42471897158847477
45460,0.4843933588248418,-0.5899973470138011,55,False,0.3559571343248053
45500,0.28965172926834887,-0.5948743159023657,55,False,0.43716586798611967
45780,0.31355791327785243,-0.5502312418969562,85,False,0.47145558270858456
45820,0.325133675795751,-0.5462843936616603,65,False,0.5037909880332834
45900,0.341752052819153,-0.5607431885899209,62,False,0.3594034874623771
45940,0.4600213229925932,-0.5803636220647397,93,False,0.5297729654454731
46060,0.4112209099316857,-0.5453425772820318,93,False,0.49334588612607183
46140,0.30972404224973976,-0.5631477879114569,96,False,0.2714013590088306
46220,0.47195992369155493,-0.5899789414164472,71,False,0.27624527747146
46300,0.4993657347732796,-0.6748307317317399,43,False,0.3519525207669247
46340,0.5590393913398591,-0.6048491407940018,72,False,0.4085698708435258
46520,0.4028094518704114,-0.5459046856425411,99,False,0.2334560592320116
46540,0.31876658617623777,-0.534754695085925,76,False,0.4426741457585701
46660,0.5415494860833433,-0.6535195074400287,56,False,0.4158807403297653
46700,0.41649586957445994,-0.5673509851057855,94,False,0.41390783054634334
47020,0.3118357224596023,-0.592680242021109,52,False,0.5998565163590781
47220,0.46189574339522865,-0.5907997520798175,67,False,0.4310917503646654
47260,0.4036196879980955,-0.5528632082811846,105,False,0.2992535052113923
47300,0.5847255153896068,-0.5973498150213783,77,False,0.4105607738070054
47380,0.4073617267066372,-0.5604576051420123,73,False,0.3174034185101938
47460,0.0994772179808666,-0.5769491100367796,43,False,0.2521264994486653
47580,0.5468763545950971,-0.6194804580759996,70,False,0.35314897169436965
47900,0.48575173331676297,-0.5489823069264935,114,False,0.40559973669999644
47930,0.3607726513558773,-0.5526534818641508,89,False,0.4050150253547435
47940,0.23510052141278487,-0.544162512233558,59,False,0.3108161766002168
48060,0.5457145838968863,-0.5852207089320126,64,False,0.5014074096589662
48140,0.5941467313340327,-0.5881928404718675,56,False,0.3284659556005157
48260,0.015293601451452954,-0.5834896168380108,52,False,0.21673132300823528
48300,0.5778279323900305,-0.6210974034647687,60,False,0.32870097682898824
48540,0.33630451582756155,-0.6216232251556639,56,False,0.3002125664813463
48620,0.38355922361357275,-0.5564369597296056,81,False,0.3073648229192436
48660,0.332839761146214,-0.5616441373818409,61,False,0.573943761884433
48680,0.27691301323082934,-0.5340725757513126,40,False,0.32322574368301926
48700,0.532991967248276,-0.601274873910726,57,False,0.3073136839316827
48900,0.41259729277002444,-0.5625156378511589,79,False,0.43357781651024524
49020,0.3612581992894039,-0.5913368436154611,61,False,0.21070511923649704
49180,0.45433989934226054,-0.5754899125924617,90,False,0.40293076053031474
49340,0.3872503658685243,-0.5479613468704414,97,False,0.2626599338316839
49420,0.551925669310392,-0.5954479529142557,65,False,0.2773115798425553
49620,0.34216320012057017,-0.5468767311010028,77,False,0.5824735522235047
49660,0.3048639950345432,-0.5506374979660309,76,False,0.25713091816016037
49700,0.48803997145386524,-0.5918167024411475,67,False,0.4718669532794882
49740,0.4186728771868605,-0.5613771908371608,64,False,0.4112552310190075
