cbsa,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
24300,6,5762.243357321444,5661,101.24335732144391,584.0,709.3635078526796,True,True
24340,6,45791.40861178942,45387,404.4086117894185,1345.0,2015.6466430596586,True,True
24420,6,2942.0162200162144,2924,18.016220016214447,435.0,439.53250696431047,True,True
24500,6,2979.702676029605,2557,422.70267602960485,361.0,351.82995317553826,False,True
24540,6,17472.0,16523,949.0,904.0,1274.9849449366059,False,True
24580,6,12227.224755468942,11696,531.224755468942,891.0,1016.5637752714729,True,True
24660,6,24475.09342900852,23728,747.0934290085206,1156.0,1576.9802912661448,True,True
24780,6,4621.0,4708,-87.0,524.0,527.6494881713618,True,True
24860,6,36785.54723746274,34732,2053.5472374627425,1497.0,1620.4779661732553,False,True
25060,6,11051.977168238649,10424,627.977168238649,855.0,847.4521525455532,True,True
25180,6,11513.050244015574,10451,1062.0502440155742,881.0,889.740102092457,False,True
25220,6,2731.6321195658165,2937,-205.36788043418346,450.0,596.6787834778559,True,True
25260,6,2994.0,3047,-53.0,411.0,512.9695846112613,True,True
25420,6,27973.0,26609,1364.0,1221.0,1510.1281880712975,False,True
25500,6,4546.0,4227,319.0,432.0,585.5495287655007,True,True
25540,6,83383.05609192836,82673,710.0560919283598,1977.0,2226.1707820610286,True,True
25620,6,3979.5852850629344,4145,-165.41471493706558,625.0,607.7631412573426,True,True
25740,6,3492.7517798519793,3982,-489.24822014802066,441.0,321.58354689225195,False,True
25860,6,9011.819179259795,8069,942.8191792597954,582.0,969.2939198549145,False,True
25940,6,12366.946074584164,13199,-832.0539254158357,969.0,1113.5857551964566,True,True
25980,6,2200.04400376024,870,1330.0440037602398,200.0,308.30467821223283,False,False
26140,6,4592.0,3995,597.0,497.0,594.2517817306062,False,True
26300,6,2054.959250439285,1963,91.95925043928492,298.0,310.36312277916556,True,True
26380,6,5361.389848487799,5128,233.3898484877991,586.0,636.9766391138651,True,True
26420,6,394760.90200948477,388429,6331.902009484766,6217.0,7041.58359524687,False,True
26580,6,7975.851780437052,9421,-1445.1482195629478,817.0,737.9228030124661,False,False
26620,6,27796.026005710286,27934,-137.97399428971403,1334.0,1367.7445424569964,True,True
26820,6,4973.694500735611,5018,-44.305499264389255,427.0,528.499053866603,True,True
26900,6,100718.47265202552,99440,1278.4726520255208,2249.0,2952.1238930894797,True,True
26980,6,7544.061203072863,8265,-720.9387969271374,597.0,783.7992983813855,False,True
27060,6,5384.0,5136,248.0,441.0,601.5291768370425,True,True
27100,6,4643.0,4166,477.0,402.0,679.2875078354158,False,True
27140,6,18283.565598405385,17410,873.5655984053847,1162.0,1153.7858490527806,True,True
27180,6,3524.616631799163,3712,-187.38336820083714,437.0,447.5136603094286,True,True
27260,6,79124.18421076366,77826,1298.1842107636621,2265.0,2805.148863723946,True,True
27340,6,4118.4101577631445,4160,-41.589842236855475,580.0,617.8174469946201,True,True
27500,6,4872.0,4422,450.0,478.0,866.8278293460301,True,True
27620,6,4549.416779008598,4029,520.4167790085976,462.0,525.7935520592466,False,True
27740,6,5378.291004303223,4933,445.2910043032234,538.0,602.4288681743743,True,True
27780,6,2716.0,2669,47.0,323.0,389.7127904351485,True,True
27860,6,3518.0,3363,155.0,485.0,587.0680968923026,True,True
27900,6,4159.492967683057,4063,96.49296768305703,517.0,654.9664124231202,True,True
27980,6,9650.059151560932,9986,-335.94084843906785,691.0,779.5102671521283,True,True
28020,6,10840.0,10046,794.0,718.0,800.728990678182,False,True
28100,6,4110.531297308795,3313,797.5312973087948,400.0,455.39379850319045,False,False
28140,6,110477.43889962006,108099,2378.438899620058,2178.0,2885.192932114347,False,True
28420,6,15121.281536673618,13799,1322.2815366736177,886.0,992.0273136650404,False,True
28450,6,6936.0,6573,363.0,643.0,905.1991230718245,True,True
28660,6,13212.03725043748,11372,1840.037250437481,909.0,1013.2119838521926,False,False
28700,6,7423.64873783148,7184,239.6487378314796,649.0,646.6076127513438,True,True
28740,6,11011.281003369788,10834,177.28100336978787,690.0,813.5300356505439,True,True
28880,6,44461.3842543204,44630,-168.61574567959906,1531.0,1649.1427962545154,True,True
28940,6,35682.769892195,35058,624.7698921949996,1413.0,1617.7904935509446,True,True
29020,6,1622.6498413487545,1733,-110.35015865124547,258.0,283.14835291854655,True,True
29100,6,5893.038977166818,5815,78.03897716681786,491.0,768.2951590277,True,True
29180,6,11905.113487061493,12061,-155.8865129385067,831.0,1059.3299231790954,True,True
29200,6,6706.547163449486,6350,356.5471634494861,481.0,649.0252543339384,True,True
29340,6,7587.452288569404,7794,-206.54771143059588,872.0,888.4931619125346,True,True
29420,6,5929.0,5767,162.0,637.0,577.1548784890846,True,True
29460,6,19035.0,18386,649.0,1210.0,1191.4193997796283,True,True
29540,6,24237.0,24377,-140.0,1127.0,1388.407335187066,True,True
29620,6,16152.0,15908,244.0,924.0,1059.2860596936268,True,True
29700,6,4407.0,4259,148.0,552.0,588.3742122769319,True,True
29740,6,4876.0,4616,260.0,563.0,728.0845076431718,True,True
29820,6,93337.0,91194,2143.0,2468.0,3024.8249756768987,True,True
29940,6,5036.0,5289,-253.0,655.0,945.7729329713607,True,True
30020,6,2102.0,2303,-201.0,330.0,513.1516790993672,True,True
30140,6,4654.0,4779,-125.0,432.0,548.2605098308651,True,True
30300,6,1858.6870258967542,2245,-386.3129741032458,369.0,187.98116308336793,False,True
30340,6,3239.0,2928,311.0,482.0,684.346888894806,True,True
30460,6,20450.641924721756,22204,-1753.3580752782436,975.0,1150.8555467492595,False,False
30500,6,19393.0,18789,604.0,971.0,1256.2119267509165,True,True
30620,6,2403.0,2320,83.0,334.0,398.44620066108047,True,True
30700,6,12874.029887118797,12196,678.029887118797,808.0,1111.4132718416151,True,True
30780,6,26688.0,25851,837.0,1222.0,1501.3967358021998,True,True
30860,6,7858.417247357748,4782,3076.4172473577482,466.0,468.0233821074027,False,False
30980,6,7178.892698837838,6608,570.892698837838,641.0,725.0817242713185,True,True
31020,6,3564.935182821321,3276,288.9351828213212,365.0,439.7996536417759,True,True
31080,6,883497.0,872794,10703.0,6442.0,7931.993182621487,False,False
31140,6,54337.044925848895,53393,944.0449258488952,1533.0,2131.035236935752,True,True
31180,6,11706.641484910233,11373,333.641484910233,844.0,1046.82210642257,True,True
31340,6,7447.0,6769,678.0,647.0,645.906793911668,False,True
31420,6,5910.308065587449,6204,-293.69193441255084,489.0,586.2246083933566,True,True
31540,6,42667.94026050359,40613,2054.9402605035866,1287.0,2030.7276950989144,False,True
31700,6,30437.223523702887,30915,-477.7764762971128,1150.0,1500.255566906426,True,True
31740,6,4024.0,3447,577.0,416.0,613.6282183170849,False,True
31860,6,3266.0,3276,-10.0,302.0,452.0217852866718,True,True
31900,6,2034.0,2005,29.0,321.0,397.1383993128215,True,True
32580,6,12613.0,12879,-266.0,898.0,1086.338122319658,True,True
32780,6,8040.0,7717,323.0,689.0,834.2068945906046,True,True
32820,6,47693.801023583335,46874,819.8010235833353,1819.0,2084.7166067226726,True,True
32900,6,6133.0,6205,-72.0,624.0,710.112699913718,True,True
33100,6,309622.88988019375,300766,8856.889880193747,4416.0,4823.207531702623,False,False
33140,6,2686.0,2660,26.0,317.0,428.80246900379433,True,True
33220,6,2908.7243434262296,3956,-1047.2756565737704,390.0,369.76007154525223,False,False
33260,6,12157.789870965382,12235,-77.21012903461815,1233.0,1327.2380124916365,True,True
33340,6,76162.0,74716,1446.0,1889.0,2426.65889923857,True,True
33460,6,255798.16449524043,255543,255.16449524043128,3167.0,4822.147024551205,True,True
33500,6,3792.27306241205,3199,593.27306241205,427.0,493.8009914428735,False,True
33540,6,4846.417099669346,5414,-567.5829003306544,584.0,525.4866916301097,True,True
33660,6,9959.0,9913,46.0,718.0,962.0446764788265,True,True
33700,6,20412.0,20144,268.0,1137.0,1350.6619582426056,True,True
33740,6,5443.131985320576,5170,273.13198532057595,608.0,788.187936223026,True,True
33780,6,5187.0,5263,-76.0,531.0,754.5076330238483,True,True
33860,6,10108.095963163541,10891,-782.9040368364585,841.0,912.542449069621,True,True
34060,6,5566.735555082345,5571,-4.264444917655055,488.0,493.56041958371475,True,True
34100,6,2616.7818241268683,2612,4.781824126868287,432.0,462.4260810467014,True,True
34580,6,6724.0,6370,354.0,372.0,568.2157180794104,True,True
34620,6,1847.0,1578,269.0,257.0,401.6655823178655,False,True
34740,6,3183.0,2955,228.0,390.0,422.72915412235295,True,True
34820,6,10973.899025654126,10484,489.8990256541256,896.0,980.8703550274452,True,True
34900,6,12468.0,12026,442.0,916.0,880.6791379682502,True,True
34940,6,31122.0,29807,1315.0,1290.0,1299.08421494432,False,True
34980,6,113015.39984209335,109975,3040.3998420933494,2466.0,2840.931966183249,False,True
35300,6,36941.0,37401,-460.0,1312.0,1647.40541096181,True,True
35380,6,38176.0,37017,1159.0,1307.0,1630.7470438900848,True,True
35620,6,1662020.615745679,1637705,24315.61574567901,10130.0,11582.106497184372,False,False
35660,6,5870.0,5268,602.0,349.0,623.4134395778215,False,True
35840,6,53172.0,50371,2801.0,1577.0,1891.4449351851351,False,False
35980,6,16315.0,14803,1512.0,947.0,1105.193406089518,False,False
36100,6,8659.0,8243,416.0,795.0,846.0532617261754,True,True
36220,6,6040.0,5575,465.0,843.0,1126.7318795464384,True,True
36260,6,30606.066798018543,30181,425.0667980185426,1243.0,1516.294851448938,True,True
